Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry,Date,Settle Price,Strike Price,Expiry
29-Mar-2016,755.1,9000,28-Dec-2017,29-Mar-2016,463.5,10000,28-Dec-2017,29-Mar-2016,275.65,11000,28-Dec-2017,30-Sep-2016,620.8,9000,28-Sep-2017,30-Sep-2016,251.3,10000,28-Sep-2017,30-Sep-2016,84.5,11000,28-Sep-2017,29-Mar-2016,502.4,9000,29-Jun-2017,29-Mar-2016,262.7,10000,29-Jun-2017,29-Mar-2016,129.6,11000,29-Jun-2017,01-Apr-2016,406.95,9000,30-Mar-2017,01-Apr-2016,187.05,10000,30-Mar-2017,15-Jul-2016,27.6,11000,30-Mar-2017
30-Mar-2016,869.9,9000,28-Dec-2017,30-Mar-2016,556.6,10000,28-Dec-2017,30-Mar-2016,346.8,11000,28-Dec-2017,03-Oct-2016,728.05,9000,28-Sep-2017,03-Oct-2016,324.95,10000,28-Sep-2017,03-Oct-2016,124.1,11000,28-Sep-2017,30-Mar-2016,599.15,9000,29-Jun-2017,30-Mar-2016,332,10000,29-Jun-2017,30-Mar-2016,175.15,11000,29-Jun-2017,04-Apr-2016,390.05,9000,30-Mar-2017,04-Apr-2016,174.1,10000,30-Mar-2017,18-Jul-2016,21.95,11000,30-Mar-2017
31-Mar-2016,835.95,9000,28-Dec-2017,31-Mar-2016,524.85,10000,28-Dec-2017,31-Mar-2016,319.9,11000,28-Dec-2017,04-Oct-2016,731.9,9000,28-Sep-2017,04-Oct-2016,321.45,10000,28-Sep-2017,04-Oct-2016,119.55,11000,28-Sep-2017,31-Mar-2016,571.6,9000,29-Jun-2017,31-Mar-2016,308.6,10000,29-Jun-2017,31-Mar-2016,157.8,11000,29-Jun-2017,05-Apr-2016,367.65,9000,30-Mar-2017,05-Apr-2016,170.65,10000,30-Mar-2017,19-Jul-2016,19.7,11000,30-Mar-2017
01-Apr-2016,797,9000,28-Dec-2017,01-Apr-2016,490.65,10000,28-Dec-2017,01-Apr-2016,292.45,11000,28-Dec-2017,05-Oct-2016,693.6,9000,28-Sep-2017,05-Oct-2016,293.2,10000,28-Sep-2017,05-Oct-2016,103.6,11000,28-Sep-2017,01-Apr-2016,538.3,9000,29-Jun-2017,01-Apr-2016,282.75,10000,29-Jun-2017,01-Apr-2016,139.85,11000,29-Jun-2017,06-Apr-2016,351.45,9000,30-Mar-2017,06-Apr-2016,157.9,10000,30-Mar-2017,20-Jul-2016,19.1,11000,30-Mar-2017
04-Apr-2016,760.6,9000,28-Dec-2017,04-Apr-2016,459,10000,28-Dec-2017,04-Apr-2016,267.2,11000,28-Dec-2017,06-Oct-2016,657.95,9000,28-Sep-2017,06-Oct-2016,268.1,10000,28-Sep-2017,06-Oct-2016,90.15,11000,28-Sep-2017,04-Apr-2016,515.15,9000,29-Jun-2017,04-Apr-2016,263.95,10000,29-Jun-2017,04-Apr-2016,126.75,11000,29-Jun-2017,07-Apr-2016,320.2,9000,30-Mar-2017,07-Apr-2016,139.85,10000,30-Mar-2017,21-Jul-2016,15.8,11000,30-Mar-2017
05-Apr-2016,727.25,9000,28-Dec-2017,05-Apr-2016,449.5,10000,28-Dec-2017,05-Apr-2016,269.9,11000,28-Dec-2017,07-Oct-2016,633.65,9000,28-Sep-2017,07-Oct-2016,248.75,10000,28-Sep-2017,07-Oct-2016,79.3,11000,28-Sep-2017,05-Apr-2016,489,9000,29-Jun-2017,05-Apr-2016,258.8,10000,29-Jun-2017,05-Apr-2016,129.9,11000,29-Jun-2017,08-Apr-2016,304.7,9000,30-Mar-2017,08-Apr-2016,128.45,10000,30-Mar-2017,22-Jul-2016,14.9,11000,30-Mar-2017
06-Apr-2016,704.6,9000,28-Dec-2017,06-Apr-2016,427.5,10000,28-Dec-2017,06-Apr-2016,251.1,11000,28-Dec-2017,10-Oct-2016,621.4,9000,28-Sep-2017,10-Oct-2016,235.55,10000,28-Sep-2017,10-Oct-2016,71.15,11000,28-Sep-2017,06-Apr-2016,470.25,9000,29-Jun-2017,06-Apr-2016,242.2,10000,29-Jun-2017,06-Apr-2016,118,11000,29-Jun-2017,11-Apr-2016,359.7,9000,30-Mar-2017,11-Apr-2016,160.25,10000,30-Mar-2017,25-Jul-2016,22.35,11000,30-Mar-2017
07-Apr-2016,661.6,9000,28-Dec-2017,07-Apr-2016,395.45,10000,28-Dec-2017,07-Apr-2016,228.55,11000,28-Dec-2017,13-Oct-2016,582.6,9000,28-Sep-2017,13-Oct-2016,232.55,10000,28-Sep-2017,13-Oct-2016,77.1,11000,28-Sep-2017,07-Apr-2016,434.3,9000,29-Jun-2017,07-Apr-2016,218.85,10000,29-Jun-2017,07-Apr-2016,104.1,11000,29-Jun-2017,12-Apr-2016,357.9,9000,30-Mar-2017,12-Apr-2016,156.2,10000,30-Mar-2017,26-Jul-2016,18.1,11000,30-Mar-2017
08-Apr-2016,639.65,9000,28-Dec-2017,08-Apr-2016,374.75,10000,28-Dec-2017,08-Apr-2016,211.45,11000,28-Dec-2017,14-Oct-2016,571.2,9000,28-Sep-2017,14-Oct-2016,220.85,10000,28-Sep-2017,14-Oct-2016,69.85,11000,28-Sep-2017,08-Apr-2016,416.25,9000,29-Jun-2017,08-Apr-2016,203.9,10000,29-Jun-2017,08-Apr-2016,93.7,11000,29-Jun-2017,13-Apr-2016,445.75,9000,30-Mar-2017,13-Apr-2016,211.65,10000,30-Mar-2017,27-Jul-2016,16.65,11000,30-Mar-2017
11-Apr-2016,718.3,9000,28-Dec-2017,11-Apr-2016,433.95,10000,28-Dec-2017,11-Apr-2016,253.8,11000,28-Dec-2017,17-Oct-2016,529,9000,28-Sep-2017,17-Oct-2016,197.9,10000,28-Sep-2017,17-Oct-2016,60.15,11000,28-Sep-2017,11-Apr-2016,480.6,9000,29-Jun-2017,11-Apr-2016,246.4,10000,29-Jun-2017,11-Apr-2016,118.85,11000,29-Jun-2017,18-Apr-2016,456.55,9000,30-Mar-2017,18-Apr-2016,214.65,10000,30-Mar-2017,28-Jul-2016,17.7,11000,30-Mar-2017
12-Apr-2016,716,9000,28-Dec-2017,12-Apr-2016,427.45,10000,28-Dec-2017,12-Apr-2016,246.3,11000,28-Dec-2017,18-Oct-2016,681.65,9000,28-Sep-2017,18-Oct-2016,302.1,10000,28-Sep-2017,18-Oct-2016,115.45,11000,28-Sep-2017,12-Apr-2016,478.55,9000,29-Jun-2017,12-Apr-2016,241.3,10000,29-Jun-2017,12-Apr-2016,113.95,11000,29-Jun-2017,20-Apr-2016,433.75,9000,30-Mar-2017,20-Apr-2016,196.9,10000,30-Mar-2017,29-Jul-2016,14.2,11000,30-Mar-2017
13-Apr-2016,835.05,9000,28-Dec-2017,13-Apr-2016,522.8,10000,28-Dec-2017,13-Apr-2016,317.85,11000,28-Dec-2017,19-Oct-2016,654,9000,28-Sep-2017,19-Oct-2016,280.15,10000,28-Sep-2017,19-Oct-2016,102.2,11000,28-Sep-2017,13-Apr-2016,578.8,9000,29-Jun-2017,13-Apr-2016,311.85,10000,29-Jun-2017,13-Apr-2016,159.05,11000,29-Jun-2017,21-Apr-2016,413.1,9000,30-Mar-2017,21-Apr-2016,181.05,10000,30-Mar-2017,01-Aug-2016,11.25,11000,30-Mar-2017
