Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price,Date,Expiry,Strike Price,Settle Price
29-Mar-2016,28-Dec-2017,9000,951.8,29-Mar-2016,28-Dec-2017,10000,1526.2,29-Mar-2016,28-Dec-2017,11000,2204.35,30-Sep-2016,28-Sep-2017,9000,414.4,30-Sep-2016,28-Sep-2017,10000,978.8,30-Sep-2016,28-Sep-2017,11000,1745.9,29-Mar-2016,29-Jun-2017,9000,1025.2,29-Mar-2016,29-Jun-2017,10000,1687.7,29-Mar-2016,29-Jun-2017,11000,2456.8,01-Apr-2016,30-Mar-2017,9000,996.5,01-Apr-2016,30-Mar-2017,10000,1699.1,15-Jul-2016,30-Mar-2017,11000,1958.1
30-Mar-2016,28-Dec-2017,9000,928.8,30-Mar-2016,28-Dec-2017,10000,1481.55,30-Mar-2016,28-Dec-2017,11000,2137.75,03-Oct-2016,28-Sep-2017,9000,400.3,03-Oct-2016,28-Sep-2017,10000,931.7,03-Oct-2016,28-Sep-2017,11000,1665.35,30-Mar-2016,29-Jun-2017,9000,984.55,30-Mar-2016,29-Jun-2017,10000,1619.7,30-Mar-2016,29-Jun-2017,11000,2365.15,04-Apr-2016,30-Mar-2017,9000,994.45,04-Apr-2016,30-Mar-2017,10000,1707.8,18-Jul-2016,30-Mar-2017,11000,1989.7
31-Mar-2016,28-Dec-2017,9000,909.8,31-Mar-2016,28-Dec-2017,10000,1466.65,31-Mar-2016,28-Dec-2017,11000,2129.75,04-Oct-2016,28-Sep-2017,9000,376.35,04-Oct-2016,28-Sep-2017,10000,900.75,04-Oct-2016,28-Sep-2017,11000,1633.7,31-Mar-2016,29-Jun-2017,9000,967.8,31-Mar-2016,29-Jun-2017,10000,1608.65,31-Mar-2016,29-Jun-2017,11000,2361.7,05-Apr-2016,30-Mar-2017,9000,1151.6,05-Apr-2016,30-Mar-2017,10000,1886.5,19-Jul-2016,30-Mar-2017,11000,1968.15
01-Apr-2016,28-Dec-2017,9000,897.9,01-Apr-2016,28-Dec-2017,10000,1459.75,01-Apr-2016,28-Dec-2017,11000,2129.8,05-Oct-2016,28-Sep-2017,9000,377.25,05-Oct-2016,28-Sep-2017,10000,913.25,05-Oct-2016,28-Sep-2017,11000,1660,01-Apr-2016,29-Jun-2017,9000,961.65,01-Apr-2016,29-Jun-2017,10000,1610.15,01-Apr-2016,29-Jun-2017,11000,2371.3,06-Apr-2016,30-Mar-2017,9000,1126.75,06-Apr-2016,30-Mar-2017,10000,1865.4,20-Jul-2016,30-Mar-2017,11000,1933.7
04-Apr-2016,28-Dec-2017,9000,912.35,04-Apr-2016,28-Dec-2017,10000,1489.7,04-Apr-2016,28-Dec-2017,11000,2176.85,06-Oct-2016,28-Sep-2017,9000,379.15,06-Oct-2016,28-Sep-2017,10000,926.1,06-Oct-2016,28-Sep-2017,11000,1684.9,04-Apr-2016,29-Jun-2017,9000,965.85,04-Apr-2016,29-Jun-2017,10000,1626.85,04-Apr-2016,29-Jun-2017,11000,2401.8,07-Apr-2016,30-Mar-2017,9000,1165.05,07-Apr-2016,30-Mar-2017,10000,1917.05,21-Jul-2016,30-Mar-2017,11000,1989.6
05-Apr-2016,28-Dec-2017,9000,1073.3,05-Apr-2016,28-Dec-2017,10000,1678.8,05-Apr-2016,28-Dec-2017,11000,2382.45,07-Oct-2016,28-Sep-2017,9000,370.05,07-Oct-2016,28-Sep-2017,10000,922.2,07-Oct-2016,28-Sep-2017,11000,1689.85,05-Apr-2016,29-Jun-2017,9000,1124.35,05-Apr-2016,29-Jun-2017,10000,1809.55,05-Apr-2016,29-Jun-2017,11000,2596.1,08-Apr-2016,30-Mar-2017,9000,1142.45,08-Apr-2016,30-Mar-2017,10000,1898.7,22-Jul-2016,30-Mar-2017,11000,1958.15
06-Apr-2016,28-Dec-2017,9000,1042.4,06-Apr-2016,28-Dec-2017,10000,1648.9,06-Apr-2016,28-Dec-2017,11000,2356.05,10-Oct-2016,28-Sep-2017,9000,352,10-Oct-2016,28-Sep-2017,10000,903.85,10-Oct-2016,28-Sep-2017,11000,1677.2,06-Apr-2016,29-Jun-2017,9000,1097.1,06-Apr-2016,29-Jun-2017,10000,1784.75,06-Apr-2016,29-Jun-2017,11000,2576.2,11-Apr-2016,30-Mar-2017,9000,1085.35,11-Apr-2016,30-Mar-2017,10000,1818.95,25-Jul-2016,30-Mar-2017,11000,1876.5
07-Apr-2016,28-Dec-2017,9000,1068.85,07-Apr-2016,28-Dec-2017,10000,1686.5,07-Apr-2016,28-Dec-2017,11000,2403.3,13-Oct-2016,28-Sep-2017,9000,454.05,13-Oct-2016,28-Sep-2017,10000,1042.35,13-Oct-2016,28-Sep-2017,11000,1825.2,07-Apr-2016,29-Jun-2017,9000,1130.7,07-Apr-2016,29-Jun-2017,10000,1831.1,07-Apr-2016,29-Jun-2017,11000,2632.2,12-Apr-2016,30-Mar-2017,9000,1046.85,12-Apr-2016,30-Mar-2017,10000,1778.25,26-Jul-2016,30-Mar-2017,11000,1921.4
08-Apr-2016,28-Dec-2017,9000,1039.75,08-Apr-2016,28-Dec-2017,10000,1658.75,08-Apr-2016,28-Dec-2017,11000,2379.4,14-Oct-2016,28-Sep-2017,9000,435,14-Oct-2016,28-Sep-2017,10000,1023.2,14-Oct-2016,28-Sep-2017,11000,1810.75,08-Apr-2016,29-Jun-2017,9000,1105.5,08-Apr-2016,29-Jun-2017,10000,1809.15,08-Apr-2016,29-Jun-2017,11000,2615.05,13-Apr-2016,30-Mar-2017,9000,993.25,13-Apr-2016,30-Mar-2017,10000,1692.25,27-Jul-2016,30-Mar-2017,11000,1896.75
11-Apr-2016,28-Dec-2017,9000,1005.5,11-Apr-2016,28-Dec-2017,10000,1605.45,11-Apr-2016,28-Dec-2017,11000,2309.6,17-Oct-2016,28-Sep-2017,9000,461.2,17-Oct-2016,28-Sep-2017,10000,1069.25,17-Oct-2016,28-Sep-2017,11000,1870.65,11-Apr-2016,29-Jun-2017,9000,1057.45,11-Apr-2016,29-Jun-2017,10000,1739.75,11-Apr-2016,29-Jun-2017,11000,2528.7,18-Apr-2016,30-Mar-2017,9000,946.5,18-Apr-2016,30-Mar-2017,10000,1638.45,28-Jul-2016,30-Mar-2017,11000,1850
