Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,573.00,573.10,565.75,568.20,570.047210195145285726,81529,1755,46475379.00,20270,24.86,7.35,-4.80
29-December-2016,564.15,567.70,562.35,564.30,564.948909902810612030,53298,1575,30110647.00,13973,26.22,5.35,0.15
28-December-2016,566.15,572.35,561.15,562.65,566.935433378986499706,56221,1712,31873677.00,12515,22.26,11.20,-3.50
27-December-2016,553.95,565.65,553.95,562.90,562.874153580982013945,89347,2208,50291117.00,21354,23.90,11.70,8.95
26-December-2016,584.90,585.00,548.30,553.95,559.271203955926411066,220631,5650,123392565.00,45256,20.51,36.70,-30.95
23-December-2016,563.00,588.90,552.55,582.75,572.869011633881775947,282193,6547,161659625.00,29963,10.62,36.35,19.75
22-December-2016,563.00,566.20,559.10,560.20,561.190387673288392197,44651,1129,25057712.00,11738,26.29,7.10,-2.80
21-December-2016,565.00,567.20,561.80,562.85,564.586049170954831332,110187,2269,62210043.00,10917,9.91,5.40,-2.15
20-December-2016,573.00,574.50,561.00,562.00,565.936577277145634398,87445,2375,49488324.00,14239,16.28,13.50,-11.00
19-December-2016,566.00,573.05,561.75,568.45,569.136270038083429279,90328,2465,51408941.00,20040,22.19,11.30,2.45
16-December-2016,562.50,569.75,561.25,566.00,565.561509927994763255,45830,1598,25919684.00,6826,14.89,8.50,3.50
15-December-2016,570.00,576.20,560.00,561.60,565.538036938869956666,118845,2669,67211368.00,29581,24.89,16.20,-8.40
14-December-2016,578.55,579.50,565.00,568.45,571.039791468664393134,71548,1447,40856755.00,22468,31.40,14.50,-10.10
13-December-2016,574.00,581.00,570.60,578.20,576.126228130089843955,38066,1145,21930821.00,7765,20.40,10.40,4.20
12-December-2016,578.00,581.05,572.55,574.35,576.803815287462176029,38005,890,21921429.00,8313,21.87,8.50,-3.65
9-December-2016,583.95,585.00,576.00,579.30,580.341423786788284757,70165,1990,40719656.00,14086,20.08,9.00,-4.65
8-December-2016,571.85,584.90,571.00,581.80,578.627115950091393149,150996,3492,87370380.00,38370,25.41,13.90,9.95
7-December-2016,578.00,578.00,569.00,570.40,573.521720035651084387,77417,1667,44400331.00,18014,23.27,9.00,-7.60
6-December-2016,577.00,580.00,571.00,574.95,575.418955814342229899,71788,1300,41308176.00,20690,28.82,9.00,-2.05
5-December-2016,571.40,580.70,571.40,573.20,576.348050175331246616,84982,2364,48979210.00,16692,19.64,9.30,1.80
2-December-2016,565.05,573.00,565.05,571.40,570.631315259100691162,87823,1846,50114554.00,30494,34.72,7.95,6.35
1-December-2016,574.60,580.00,567.00,568.15,572.088969586926917839,103541,2152,59234664.00,18331,17.70,13.00,-6.45
30-November-2016,569.00,572.20,564.95,566.55,568.287488335367166750,41793,1381,23750439.00,10862,25.99,7.25,-2.45
29-November-2016,573.00,573.00,564.95,569.10,569.084100681810906840,93721,2022,53335131.00,21006,22.41,8.05,-3.90
28-November-2016,570.00,577.00,567.80,570.55,573.049049725077695433,167320,3421,95882567.00,23915,14.29,9.20,0.55
25-November-2016,550.00,568.65,549.10,563.35,561.381735718946613712,124133,3175,69685999.00,23553,18.97,19.55,13.35
24-November-2016,552.00,557.90,546.00,553.65,551.648637866180326000,70184,2215,38716908.00,13347,19.02,11.90,1.65
23-November-2016,555.50,559.00,547.85,552.20,552.642455743879472693,132750,3014,73363286.00,15451,11.64,11.15,-3.30
22-November-2016,548.25,558.95,544.00,549.75,551.982044937809281797,89724,2431,49526037.00,20432,22.77,14.95,1.50
21-November-2016,550.00,554.00,542.00,544.95,546.065454340091489241,53121,1225,29007543.00,12387,23.32,12.00,-5.05
18-November-2016,548.00,555.90,540.00,549.75,550.193985918985649440,92749,2454,51029942.00,19673,21.21,15.90,1.75
17-November-2016,540.00,549.20,536.05,544.70,545.195516558375446585,54021,1765,29452007.00,10698,19.80,13.15,4.70
16-November-2016,561.10,562.00,535.00,538.65,542.668160915098349885,129385,2168,70213120.00,52685,40.72,27.00,-22.45
15-November-2016,549.00,560.05,529.00,552.75,544.670916968300976198,109404,2590,59589177.00,22693,20.74,31.05,3.75
11-November-2016,562.05,564.25,546.00,549.70,553.903257713538176829,94023,3913,52079646.00,21617,22.99,18.25,-12.35
10-November-2016,538.00,572.00,538.00,564.25,558.741515376065209336,323880,8246,180965202.00,78074,24.11,34.00,26.25
9-November-2016,512.00,533.00,487.35,528.10,520.760381107055289693,253682,8806,132107535.00,58942,23.23,45.65,16.10
8-November-2016,545.10,550.00,531.40,536.25,537.776181278560324115,127362,2579,68492250.00,50770,39.86,18.60,-8.85
7-November-2016,549.00,555.50,544.00,545.75,548.124588140435401507,100459,1940,55064048.00,51190,50.96,11.50,-3.25
4-November-2016,565.75,565.75,538.50,544.50,552.483668509880242603,194226,3841,107306693.00,67251,34.63,27.25,-21.25
3-November-2016,560.10,563.95,557.00,559.05,560.376706848730531256,74992,1914,42023770.00,12023,16.03,6.95,-1.05
2-November-2016,570.00,570.00,556.00,558.80,561.901261002317805488,413322,3484,232246153.00,302958,73.30,14.00,-11.20
1-November-2016,578.00,579.20,570.25,571.05,572.783682951827810044,73175,1810,41913446.00,22889,31.28,8.95,-6.95
30-October-2016,578.00,580.10,575.15,577.35,577.875602758957455899,16383,508,9467336.00,5531,33.76,4.95,-0.65
28-October-2016,585.00,586.70,573.00,574.45,576.981505558083598777,61532,1343,35502826.00,26754,43.48,13.70,-10.55
27-October-2016,578.00,586.55,572.00,584.60,581.040994661955509963,105282,2710,61173158.00,13358,12.69,14.55,6.60
26-October-2016,585.25,585.25,575.10,577.30,579.587894627059790677,81501,2169,47236993.00,28288,34.71,10.15,-7.95
25-October-2016,588.00,593.75,583.20,585.30,587.081304377149794294,59308,1651,34818618.00,12878,21.71,10.55,-2.70
24-October-2016,583.00,593.95,582.25,585.05,586.525322007788095339,93476,1971,54826041.00,24307,26.00,11.70,2.05
21-October-2016,594.75,596.50,570.30,582.75,580.022191827865309578,168891,3985,97960528.00,39321,23.28,26.20,-12.00
20-October-2016,598.00,600.10,593.75,595.05,595.902901966220743513,86562,1843,51582547.00,39970,46.17,6.35,-2.95
