Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,426.20,442.20,424.70,437.95,430.060334247402307098,351177,3105,151027298.00,263815,75.12,17.50,11.75
29-December-2016,425.00,431.20,419.05,424.90,424.832569066157839124,97479,2640,41412254.00,27264,27.97,12.15,-0.10
28-December-2016,424.50,429.00,419.55,424.05,424.347117464422255744,125289,3912,53166026.00,62245,49.68,9.45,-0.45
27-December-2016,430.00,430.80,421.70,424.60,425.065653527438978539,132986,1889,56527781.00,69915,52.57,9.10,-5.40
26-December-2016,430.00,433.00,424.10,428.05,428.147282396418592074,199698,1632,85500156.00,162030,81.14,8.90,-1.95
23-December-2016,426.30,435.15,418.00,431.60,427.410689916151677860,167803,3818,71720796.00,52048,31.02,17.15,5.30
22-December-2016,429.50,430.30,424.00,424.90,427.244152046783625730,58824,2067,25132210.00,12943,22.00,6.30,-4.60
21-December-2016,429.50,432.60,423.25,429.95,428.285006922387816597,61395,1844,26294558.00,15449,25.16,9.35,0.45
20-December-2016,425.90,432.40,425.00,428.65,429.326742009789807083,138920,3054,59642071.00,35490,25.55,7.40,2.75
19-December-2016,415.00,428.00,415.00,424.80,424.356170327368484050,133672,4654,56724538.00,76055,56.90,13.00,9.80
16-December-2016,422.90,423.00,410.90,415.10,415.543538884112972553,143079,3554,59455554.00,59367,41.49,12.10,-7.80
15-December-2016,419.50,424.00,415.00,417.10,418.405946290246358051,48669,2180,20363399.00,16300,33.49,9.00,-2.40
14-December-2016,425.05,425.50,418.10,419.10,421.589898355546251715,85986,2329,36250829.00,24096,28.02,7.40,-5.95
13-December-2016,430.10,431.30,421.75,424.10,425.139800456785671354,66552,1969,28293904.00,15681,23.56,9.55,-6.00
12-December-2016,417.15,430.70,417.15,428.75,428.919433254618697041,43194,1872,18526746.00,8627,19.97,13.55,11.60
9-December-2016,432.20,433.90,427.60,429.05,429.374783615988338040,76831,2255,32989294.00,45846,59.67,6.30,-3.15
8-December-2016,432.20,436.15,428.65,429.60,431.664453506203819880,114768,1840,49541266.00,70974,61.84,7.50,-2.60
7-December-2016,434.50,434.50,424.25,427.45,428.997867850227356786,45963,1224,19718029.00,12626,27.47,10.25,-7.05
6-December-2016,430.00,436.00,429.15,430.40,432.426163664847701058,95109,1781,41127620.00,48592,51.09,6.85,0.40
5-December-2016,441.00,441.00,425.55,427.15,428.623645711131046856,115928,1867,49689482.00,60658,52.32,15.45,-13.85
2-December-2016,436.25,443.30,430.30,431.85,437.524248086426193434,105431,4008,46128619.00,25279,23.98,13.00,-4.40
1-December-2016,426.60,444.90,425.00,439.45,438.325153745231202854,380337,6337,166711274.00,135476,35.62,19.90,12.85
30-November-2016,425.10,433.35,423.00,424.80,425.524568807506218321,330073,3923,140454171.00,200687,60.80,10.35,-0.30
29-November-2016,412.00,429.30,412.00,427.95,427.279746206474792646,340119,3714,145325960.00,250173,73.55,17.30,15.95
28-November-2016,417.00,423.65,413.75,417.40,419.170247263220066392,611211,4380,256201466.00,460074,75.27,9.90,0.40
25-November-2016,409.90,419.50,404.45,417.10,415.684589049144880643,127643,3686,53059228.00,48601,38.08,15.05,7.20
24-November-2016,410.05,412.65,401.30,403.30,404.903529356914182699,643460,3540,260539225.00,53986,8.39,11.35,-6.75
23-November-2016,420.00,420.00,409.00,412.30,412.870658100926927146,345874,2445,142801226.00,268793,77.71,11.00,-7.70
22-November-2016,423.00,428.15,408.20,414.90,415.128604588981617099,422621,2628,175442066.00,10586,2.50,19.95,-8.10
21-November-2016,427.00,433.55,419.50,420.15,423.331513111748274122,325052,3718,137604755.00,23807,7.32,14.05,-6.85
18-November-2016,435.95,441.25,425.50,427.35,430.012302845831293501,140943,3783,60607224.00,43080,30.57,15.75,-8.60
17-November-2016,428.00,436.75,427.45,435.00,434.323057385506786252,62995,4391,27360181.00,22878,36.32,9.30,7.00
16-November-2016,444.95,444.95,424.00,428.50,432.700671363592711907,114543,3688,49562833.00,27481,23.99,20.95,-16.45
15-November-2016,438.60,446.45,421.00,435.95,433.957929818406743046,108319,3505,47005889.00,30300,27.97,25.45,-2.65
11-November-2016,448.00,449.00,428.40,438.60,435.288231862503125220,155989,3444,67900176.00,47282,30.31,20.60,-9.40
10-November-2016,452.60,455.70,446.00,449.30,450.756015240807393637,151698,4276,68378786.00,47287,31.17,9.70,-3.30
9-November-2016,420.20,448.50,418.00,445.15,434.662277589091093425,157816,6615,68596662.00,37390,23.69,30.50,24.95
8-November-2016,429.35,442.00,424.85,438.85,433.337831034135535192,119172,2711,51641736.00,46717,39.20,17.15,9.50
7-November-2016,425.00,429.60,422.00,426.30,426.272211119404781970,207655,1587,88517556.00,166786,80.32,7.60,1.30
4-November-2016,430.85,432.80,421.85,424.30,425.208223444603521462,39813,1509,16928815.00,12095,30.38,10.95,-6.55
3-November-2016,427.55,434.00,425.00,428.25,430.852990739452406350,258732,3047,111475456.00,148799,57.51,9.00,0.70
2-November-2016,426.00,431.50,419.70,428.80,424.844658299486503957,81987,2475,34831739.00,18966,23.13,11.80,2.80
1-November-2016,431.00,442.00,430.95,432.40,435.106347857352989245,122372,3343,53244834.00,59098,48.29,11.05,1.40
30-October-2016,435.00,437.40,431.00,432.05,433.132464400551217271,17416,339,7543435.00,7140,41.00,6.40,-2.95
28-October-2016,434.75,435.00,429.45,433.10,431.974423744868961161,76008,2060,32833512.00,27454,36.12,5.55,-1.65
27-October-2016,432.95,436.60,430.90,435.15,433.900026156490546296,53524,1566,23224065.00,19835,37.06,5.70,2.20
26-October-2016,434.90,437.15,430.10,432.45,433.700190681073681122,61359,1680,26611410.00,16460,26.83,7.05,-2.45
25-October-2016,446.90,446.90,433.55,434.90,436.493434749260382044,109516,2020,47803015.00,31365,28.64,13.35,-12.00
24-October-2016,442.30,450.45,442.10,443.85,445.715449742617176916,147640,3298,65805429.00,54163,36.69,8.35,1.55
21-October-2016,439.50,448.70,437.90,440.45,443.473659983633387888,156416,3340,69366376.00,34756,22.22,10.80,0.95
20-October-2016,439.70,443.00,433.30,438.20,438.375167710196779964,160992,3073,70574895.00,75091,46.64,9.70,-1.50
19-October-2016,430.25,444.70,430.00,435.80,438.896793765068223512,388649,6054,170576800.00,152641,39.27,14.70,5.55
18-October-2016,431.80,434.95,426.65,429.45,430.904056171948853176,160792,3195,69285925.00,47044,29.26,8.30,-2.35
17-October-2016,435.50,438.00,424.50,427.60,430.572634738117191878,221244,3858,95261612.00,50809,22.97,13.50,-7.90
14-October-2016,413.00,433.00,413.00,430.35,428.043282303797921250,894384,12298,382835063.00,416341,46.55,20.00,17.35
13-October-2016,416.85,424.80,410.50,413.60,417.596682374697815358,179526,3409,74969462.00,41128,22.91,14.30,-3.25
10-October-2016,416.00,424.00,413.35,418.60,419.766574859915560812,115823,2819,48618624.00,28343,24.47,10.65,2.60
7-October-2016,416.50,419.00,412.55,414.20,415.805674494073105872,177496,3753,73803844.00,37982,21.40,6.45,-2.30
6-October-2016,401.95,419.45,400.40,414.60,414.853476452041067934,381222,6917,158151272.00,93265,24.46,19.05,12.65
5-October-2016,408.00,408.00,399.30,400.65,402.487056400230418768,114574,2214,46114552.00,36546,31.90,8.70,-7.35
4-October-2016,385.00,411.20,384.75,402.25,402.514053440512813401,1009646,13770,406396704.00,447718,44.34,26.45,17.25
3-October-2016,379.00,386.50,371.35,384.75,379.873721659905740879,152346,4310,57872242.00,31224,20.50,15.15,5.75
30-September-2016,363.00,375.90,363.00,374.05,372.876706832048906565,84733,2839,31594962.00,18874,22.27,12.90,11.05
29-September-2016,376.50,383.90,359.00,362.95,372.998591456857686657,198077,4845,73882442.00,31958,16.13,24.90,-13.55
28-September-2016,375.20,378.75,372.20,374.90,375.276319631287477528,828830,1856,311040272.00,76547,9.24,6.55,-0.30
27-September-2016,376.15,378.45,372.15,373.20,374.589880578252671275,70004,1750,26222790.00,16418,23.45,6.30,-2.95
26-September-2016,384.50,386.00,376.00,377.30,380.366815434681543468,107550,2901,40908451.00,31783,29.55,10.00,-7.20
23-September-2016,387.80,393.20,385.10,386.50,388.400049872067305607,92236,2072,35824467.00,28488,30.89,8.10,-1.30
22-September-2016,389.00,398.80,388.55,389.75,391.646240879771597758,113484,2281,44445582.00,29536,26.03,10.25,0.75
21-September-2016,389.00,392.30,383.05,386.90,389.178537605140760591,142547,3451,55476233.00,27410,19.23,9.25,-2.10
20-September-2016,388.35,391.10,384.80,385.40,386.302130668524545842,96167,2392,37149517.00,10949,11.39,6.30,-2.95
19-September-2016,389.10,393.00,388.00,388.60,390.098734958346189447,45374,979,17700340.00,16555,36.49,5.00,-0.50
16-September-2016,388.00,395.25,387.40,388.30,391.282640739920417312,392799,5979,153695430.00,201539,51.31,7.85,0.30
15-September-2016,387.50,393.50,384.00,385.15,387.865697978174935678,101443,2130,39346260.00,20449,20.16,9.50,-2.35
14-September-2016,390.00,390.00,385.00,387.25,387.346630064910926195,69942,1801,27091798.00,19759,28.25,5.00,-2.75
12-September-2016,390.90,390.90,383.55,385.45,386.756627926562236819,118740,3026,45923482.00,32891,27.70,7.35,-5.45
9-September-2016,388.00,399.00,388.00,394.90,395.340866079440467171,715454,6642,282848204.00,476024,66.53,11.00,6.90
8-September-2016,406.90,407.00,387.80,388.90,393.856917319861239711,468722,9374,184609402.00,117581,25.09,19.20,-18.00
7-September-2016,404.15,407.80,386.20,396.50,401.360952869470762174,331420,6346,133019047.00,95638,28.86,21.60,-7.65
6-September-2016,395.25,405.40,394.25,402.40,402.202284805481626029,587271,7926,236201738.00,365275,62.20,11.15,7.15
