Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,819.00,828.70,818.55,826.30,825.080821983966000193,41412,1475,34168247.00,12155,29.35,10.15,7.30
29-December-2016,811.00,821.55,805.25,817.45,816.636603676919742260,50749,1957,41443491.00,18860,37.16,16.30,6.45
28-December-2016,807.00,821.00,805.80,810.65,813.456725154843382755,67649,3907,55029534.00,28211,41.70,15.20,3.65
27-December-2016,805.00,808.80,797.00,806.40,803.259570770701190372,57545,1625,46223572.00,11128,19.34,11.80,1.40
26-December-2016,790.95,804.45,784.95,800.85,796.866255079712410128,63980,2720,50983503.00,21389,33.43,19.50,9.90
23-December-2016,789.10,798.30,782.95,790.95,791.669283579678539697,61905,2320,49008287.00,24510,39.59,15.35,1.85
22-December-2016,797.00,802.95,785.00,789.10,793.366162157526904772,69969,2906,55511037.00,29542,42.22,17.95,-7.90
21-December-2016,803.00,803.95,795.00,796.55,798.590444028353617761,29908,1136,23884243.00,11924,39.87,8.95,-6.45
20-December-2016,815.00,815.00,798.50,801.10,802.154824321729755276,67709,4208,54313101.00,34630,51.15,16.50,-13.90
19-December-2016,818.00,818.00,805.95,811.00,811.352835741037988228,37380,1918,30328369.00,14369,38.44,12.05,-7.00
16-December-2016,817.55,826.40,815.05,817.30,819.662060364180593664,80180,2883,65720504.00,33755,42.10,11.35,-0.25
15-December-2016,820.00,824.45,815.30,817.20,818.912217381216324215,38789,2432,31764786.00,12776,32.94,9.15,-2.80
14-December-2016,831.00,837.70,820.00,822.05,825.381859499495006172,35644,1711,29419911.00,15762,44.22,17.70,-8.95
13-December-2016,835.50,836.50,825.55,829.75,830.080236204710749316,29974,1291,24880825.00,7539,25.15,10.95,-5.75
12-December-2016,847.50,847.50,831.00,833.15,834.889243773390114853,30996,1301,25878227.00,11764,37.95,16.50,-14.35
9-December-2016,839.35,846.40,837.00,844.80,842.341885002317402328,36679,2050,30896258.00,11851,32.31,9.40,5.45
8-December-2016,840.00,846.90,838.05,842.10,842.954324065196548418,26075,1313,21980034.00,9397,36.04,8.85,2.10
7-December-2016,837.75,844.00,832.50,834.80,838.809175821516720708,20663,894,17332314.00,6007,29.07,11.50,-2.95
6-December-2016,845.80,848.00,835.00,837.75,837.824952561669829222,65348,3135,54750185.00,31184,47.72,13.00,-8.05
5-December-2016,833.90,851.25,833.00,845.80,846.695614198104441553,53810,2482,45560691.00,20142,37.43,18.25,11.90
2-December-2016,845.20,846.40,828.75,833.00,834.846571437722191973,62446,2075,52132829.00,23191,37.14,17.65,-12.20
1-December-2016,844.00,854.00,842.55,846.10,849.848151608807110855,41739,1869,35471812.00,10749,25.75,11.45,2.10
30-November-2016,835.55,849.00,831.00,844.30,844.159143642638485386,51287,1898,43294390.00,13886,27.08,18.00,8.75
29-November-2016,838.00,840.35,829.55,834.00,836.280006248047485160,64020,1795,53538646.00,26091,40.75,10.80,-4.00
28-November-2016,834.95,841.00,829.15,837.25,836.327627832115884610,32308,1349,27020073.00,9943,30.78,11.85,2.30
25-November-2016,832.00,837.60,826.00,833.00,833.426334067231087000,44057,2558,36718264.00,12816,29.09,11.60,1.00
24-November-2016,829.00,833.95,820.55,826.90,827.168982700644168050,49366,2488,40834024.00,16428,33.28,13.40,-2.10
23-November-2016,820.00,833.45,815.50,830.50,826.579026014942839139,55545,2305,45912332.00,14741,26.54,17.95,10.50
22-November-2016,805.00,822.50,804.00,819.80,815.954781642933640077,50422,3292,41142072.00,21881,43.40,18.50,14.80
21-November-2016,805.00,805.35,793.00,799.65,799.717994774657086871,42868,1567,34282311.00,15843,36.96,12.35,-5.35
18-November-2016,813.50,814.70,796.50,803.85,805.043733840392352375,86249,3050,69434217.00,34577,40.09,18.20,-9.65
17-November-2016,808.00,815.60,803.00,812.15,810.169832142649706685,68868,2786,55794776.00,20969,30.45,12.60,4.15
16-November-2016,807.00,810.90,798.50,806.55,801.111277308320322276,335612,3045,268862558.00,236802,70.56,12.40,-0.45
