Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,237.00,242.30,236.10,240.95,240.937723548362547880,748999,5555,180462114.00,335541,44.80,6.20,3.95
29-December-2016,235.90,236.70,232.30,235.50,234.438602028687388757,649484,7151,152264121.00,391488,60.28,4.40,-0.40
28-December-2016,234.10,236.40,233.10,235.35,234.951347663538564033,873586,7345,205250208.00,581006,66.51,3.30,1.25
27-December-2016,225.50,234.70,224.45,234.10,230.864786598463368560,826353,9892,190775809.00,400326,48.44,10.25,8.60
26-December-2016,224.35,225.85,222.05,225.05,224.141946639534822421,379382,4631,85035420.00,150705,39.72,3.80,0.70
23-December-2016,227.25,227.30,223.85,224.80,224.898298815970747322,619157,4463,139247356.00,369591,59.69,3.45,-2.45
22-December-2016,225.10,228.90,224.35,227.25,226.517350387544458985,384343,4281,87060358.00,153621,39.97,4.55,2.15
21-December-2016,229.40,229.80,225.30,226.10,227.609334108589030881,889169,3262,202383164.00,686410,77.20,4.50,-3.30
20-December-2016,227.15,230.35,227.15,229.40,229.827814633440281764,1036325,3259,238176310.00,853865,82.39,3.20,2.25
19-December-2016,228.00,229.20,225.95,227.10,227.439363141999778433,830452,3766,188877474.00,578599,69.67,3.25,-0.90
16-December-2016,231.00,231.00,226.00,226.55,227.270066488836755525,531969,4226,120900630.00,170630,32.08,5.00,-4.45
15-December-2016,232.95,234.10,228.55,229.80,230.869067689454606760,569424,4921,131462388.00,200192,35.16,5.55,-3.15
14-December-2016,236.00,236.45,231.90,233.10,233.407912486053825430,514478,4244,120083236.00,264212,51.36,4.55,-2.90
13-December-2016,233.00,236.80,232.40,235.30,235.033472936859319532,501420,3486,117850484.00,225836,45.04,4.40,2.30
12-December-2016,236.00,236.00,232.30,232.55,233.235118164618220551,205603,3123,47953840.00,49692,24.17,3.70,-3.45
9-December-2016,234.00,239.40,232.65,235.80,237.151741537963562378,692032,7209,164116594.00,280654,40.56,6.75,1.80
8-December-2016,229.90,235.20,228.40,233.00,232.674328688826099786,494778,4057,115122139.00,180079,36.40,6.80,3.10
7-December-2016,231.00,232.10,226.95,227.55,229.192073553999522294,636376,3625,145852335.00,324367,50.97,5.15,-3.45
6-December-2016,232.30,232.75,229.40,230.25,229.982290230368252900,594700,2447,136770468.00,114777,19.30,3.35,-2.05
5-December-2016,229.75,233.00,227.70,232.45,230.453602824516366261,587428,3669,135374899.00,226094,38.49,5.30,2.70
2-December-2016,232.90,232.90,228.00,228.40,229.200237252200071765,610321,6243,139885718.00,257770,42.24,4.90,-4.50
1-December-2016,232.90,234.95,231.20,233.35,233.449754213753259841,779946,2458,182078202.00,473066,60.65,3.75,0.45
30-November-2016,232.00,234.40,229.80,232.90,232.017662226298018805,503787,3296,116887482.00,121671,24.15,4.60,0.90
29-November-2016,235.00,235.60,230.25,231.20,232.726508077392348299,408981,2713,95180720.00,123315,30.15,5.35,-3.80
28-November-2016,230.00,234.20,227.80,233.50,230.944763648809947824,575563,2818,132923261.00,337662,58.67,6.40,3.50
25-November-2016,224.00,230.25,223.10,228.75,227.389106277114943127,1114238,3859,253365583.00,577400,51.82,7.15,4.75
24-November-2016,224.50,225.00,222.25,223.60,223.240978281441311997,517806,4697,115595518.00,177578,34.29,2.75,-0.90
23-November-2016,226.50,227.35,223.75,224.55,224.895672165464886362,491077,2947,110441092.00,226543,46.13,3.60,-1.95
22-November-2016,224.75,227.90,223.45,226.20,225.761904614594579545,323257,4240,72979116.00,116912,36.17,4.45,1.45
21-November-2016,229.00,230.80,224.10,224.35,225.459872147714531184,343365,4150,77415029.00,100436,29.25,6.70,-4.65
18-November-2016,231.10,231.20,227.10,227.90,229.061332737779514809,394031,3022,90257266.00,149798,38.02,4.10,-3.20
17-November-2016,229.00,234.05,225.00,232.35,231.583357667533906176,530803,4585,122925141.00,143338,27.00,9.05,3.35
16-November-2016,239.00,241.90,227.60,230.70,232.558946855524272034,1175983,9055,273485368.00,349885,29.75,14.30,-8.30
15-November-2016,242.90,246.90,235.55,237.70,240.772586432912699778,906252,6386,218200638.00,371222,40.96,11.35,-5.20
11-November-2016,246.05,248.65,241.00,243.00,245.827234081259748146,373789,4275,91887516.00,107172,28.67,7.65,-3.05
10-November-2016,252.00,252.60,245.85,250.80,249.732442351246533484,566491,6804,141471181.00,198279,35.00,6.75,-1.20
9-November-2016,240.00,254.60,239.85,248.65,247.167601890749032825,2889860,21784,714279766.00,1363907,47.20,14.75,8.65
8-November-2016,256.00,258.00,252.20,255.75,254.510122549589563518,645045,6064,164170482.00,315240,48.87,5.80,-0.25
7-November-2016,253.00,259.60,247.25,256.70,256.622932849074505283,2475811,10031,635349880.00,1682726,67.97,12.35,3.70
4-November-2016,251.00,256.00,247.40,249.10,250.680346089761783097,6620479,17530,1659623967.00,4884326,73.78,8.60,-1.90
3-November-2016,237.80,242.05,236.15,240.35,239.627336995974394509,1212240,6234,290485843.00,727808,60.04,5.90,2.55
2-November-2016,237.25,238.95,235.50,237.30,237.454457550234852188,646364,4347,153482013.00,184629,28.56,3.45,0.05
1-November-2016,242.00,242.65,238.70,239.85,241.659002197899131866,816234,3169,197250294.00,611488,74.92,3.95,-2.15
30-October-2016,243.30,244.00,241.15,241.90,242.417548859934853420,93328,1233,22624345.00,39894,42.75,2.85,-1.40
28-October-2016,244.95,244.95,239.75,242.55,241.925904130109137598,691604,4402,167316923.00,433940,62.74,5.20,-2.40
27-October-2016,240.10,244.55,239.80,243.30,243.074495371092685989,2698369,7036,655904683.00,2217713,82.19,4.75,3.20
26-October-2016,239.95,242.45,233.60,238.90,238.278497034801989306,2206598,18641,525784855.00,415321,18.82,8.85,-1.05
25-October-2016,241.95,242.35,237.85,238.75,240.545079235221040511,924084,3505,222283859.00,437523,47.35,4.50,-3.20
24-October-2016,242.00,242.00,239.75,241.20,241.036993102502183837,495687,3385,119478904.00,229463,46.29,2.25,-0.80
21-October-2016,240.45,240.90,238.75,239.85,240.050727405851080762,251304,3327,60325708.00,111797,44.49,2.15,-0.60
20-October-2016,240.00,241.40,238.25,239.30,239.554934780388044704,1439061,4020,344734164.00,1171240,81.39,3.15,-0.70
19-October-2016,245.80,245.90,238.50,239.80,241.286134221961502829,1547854,6714,373475708.00,1111286,71.80,7.40,-6.00
18-October-2016,241.90,246.50,240.55,245.80,243.794348180787401333,2609673,6193,636223528.00,2225241,85.27,5.95,3.90
17-October-2016,240.25,241.75,238.55,240.45,239.994394967091662848,4027095,3606,966480228.00,3766053,93.52,3.20,0.20
14-October-2016,239.95,240.75,238.50,239.80,239.642983536741507946,3217832,2320,771130861.00,1308063,40.65,2.25,-0.15
13-October-2016,240.15,241.20,237.50,239.15,239.221079545411488688,1319611,4728,315678768.00,861358,65.27,3.70,-1.00
10-October-2016,241.00,242.75,239.65,240.15,240.663429609673579349,383064,3442,92189496.00,159598,41.66,3.10,-0.85
7-October-2016,238.00,240.30,237.05,239.15,238.921880120302065962,549284,5414,131235966.00,164090,29.87,3.25,1.15
6-October-2016,242.00,242.00,236.20,238.00,238.460367498112167232,584003,5595,139261570.00,189250,32.41,5.80,-4.00
5-October-2016,242.00,243.10,239.30,240.30,240.937904739614549514,632351,5112,152357325.00,250473,39.61,3.80,-1.70
4-October-2016,243.00,244.05,240.85,241.45,242.626115166261151662,854469,4962,207316494.00,418346,48.96,3.20,-1.55
3-October-2016,242.35,244.25,242.00,242.10,242.340651362412700860,1400787,4603,339467634.00,1054881,75.31,2.25,-0.25
30-September-2016,246.00,246.15,240.80,241.55,242.971487993949706938,687570,5833,167059906.00,164289,23.89,5.35,-4.45
29-September-2016,248.45,248.50,241.40,245.55,244.278931986555975890,729841,6322,178284780.00,202204,27.71,7.10,-2.90
28-September-2016,245.80,249.65,245.50,247.05,247.773291914527927756,567858,3438,140700046.00,91832,16.17,4.15,1.25
27-September-2016,249.40,249.40,245.20,245.80,246.880294785778435205,567870,5654,140195913.00,164365,28.94,4.20,-3.60
26-September-2016,252.35,252.75,247.55,248.20,249.450011382540933368,571050,5604,142448429.00,200274,35.07,5.20,-4.15
23-September-2016,255.00,256.95,252.00,253.85,254.020901177996273414,414857,4187,105382349.00,119286,28.75,4.95,-1.15
22-September-2016,255.10,257.25,253.60,255.20,254.894553928662637269,469880,3944,119769853.00,219166,46.64,3.65,0.10
21-September-2016,256.90,258.75,253.20,253.80,256.313512698392751674,397885,4399,101983302.00,127457,32.03,5.55,-3.10
20-September-2016,259.65,259.75,255.50,257.05,256.891017537035236150,246792,2178,63398648.00,63701,25.81,4.25,-2.60
19-September-2016,262.55,262.55,257.70,258.15,260.000189000922997658,2317449,4540,602537178.00,1969142,84.97,4.85,-4.40
16-September-2016,255.10,262.25,255.10,260.40,259.304286021687674019,613436,10972,159066584.00,176832,28.83,7.15,5.30
