Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,3094.75,3094.75,3050.60,3058.50,3060.000064657959394801,15466,1768,47325961.00,3879,25.08,44.15,-36.25
29-December-2016,3079.00,3080.90,3045.00,3066.00,3062.841543135991161034,10861,1172,33265522.00,2455,22.60,35.90,-13.00
28-December-2016,3034.00,3107.40,3034.00,3070.50,3083.512779869229245096,20188,2407,62249956.00,5460,27.05,73.40,36.50
27-December-2016,2987.00,3041.50,2980.00,3035.65,3018.521670689474236541,9529,1208,28763493.00,2899,30.42,61.50,48.65
26-December-2016,3003.00,3027.05,2980.00,2987.10,3001.932444061962134251,11620,1306,34882455.00,2410,20.74,47.05,-15.90
23-December-2016,3017.95,3041.65,2985.00,3003.25,3013.526717557251908396,11135,1348,33555620.00,4829,43.37,56.65,-14.70
22-December-2016,3030.00,3038.00,3005.00,3017.95,3016.951320894143728062,10826,1492,32661515.00,3074,28.39,33.00,-12.05
21-December-2016,3046.00,3072.55,3023.00,3042.85,3040.623390752493200362,11030,1478,33538076.00,2632,23.86,49.55,-3.15
20-December-2016,3062.00,3087.00,3041.00,3046.20,3053.828824230049344903,11754,1252,35894704.00,4789,40.74,46.00,-15.80
19-December-2016,3107.05,3114.00,3061.50,3074.45,3084.322453016815034619,12132,1382,37419000.00,2589,21.34,52.50,-32.60
16-December-2016,3115.00,3135.00,3100.35,3107.40,3117.012511322463768115,17664,1703,55058909.00,2148,12.16,34.65,-7.60
15-December-2016,3140.00,3160.00,3106.05,3115.40,3123.144510604134608951,14947,1958,46681641.00,3916,26.20,53.95,-24.60
14-December-2016,3165.00,3167.20,3138.90,3143.35,3151.818036072144288577,9980,1062,31455144.00,2290,22.95,28.30,-21.65
13-December-2016,3145.00,3183.70,3145.00,3164.90,3164.163232963549920760,5679,764,17969283.00,824,14.51,38.70,19.90
12-December-2016,3200.00,3200.00,3142.25,3148.15,3157.885929964353113860,14307,1511,45179874.00,4342,30.35,57.75,-51.85
9-December-2016,3191.00,3215.00,3170.00,3186.45,3189.498704902867715078,10810,1176,34478481.00,2027,18.75,45.00,-4.55
8-December-2016,3175.00,3235.00,3145.00,3200.20,3192.770433924300520101,26341,2716,84100766.00,5280,20.04,90.00,25.20
7-December-2016,3178.00,3208.00,3171.00,3185.40,3189.382445661191305790,12054,1213,38444816.00,2887,23.95,37.00,7.40
6-December-2016,3174.60,3210.00,3174.55,3189.05,3194.435376492194674012,8712,905,27829921.00,2263,25.98,35.45,14.45
5-December-2016,3179.75,3191.60,3124.00,3171.25,3163.060680684473069394,15837,1788,50093392.00,1681,10.61,67.60,-8.50
2-December-2016,3220.00,3220.00,3155.00,3179.75,3181.414145687892250193,28362,2156,90231268.00,10856,38.28,65.00,-40.25
1-December-2016,3205.25,3247.00,3196.05,3240.45,3235.030899629848184110,18641,1767,60304211.00,4460,23.93,50.95,35.20
30-November-2016,3206.00,3218.00,3182.00,3198.85,3198.228349758859299643,9538,1138,30504702.00,1801,18.88,36.00,-7.15
29-November-2016,3177.00,3205.00,3160.00,3190.90,3186.976374681966872630,19259,1738,61377978.00,6468,33.58,45.00,13.90
28-November-2016,3166.00,3189.95,3162.00,3175.85,3174.126471624955939372,14185,1562,45024984.00,4891,34.48,27.95,9.85
25-November-2016,3127.85,3193.50,3078.95,3169.15,3144.386505920652523879,27953,3255,87895036.00,3745,13.40,114.55,41.30
24-November-2016,3133.95,3149.00,3089.95,3107.45,3123.214688725255809505,10457,981,32659456.00,1614,15.43,59.05,-26.50
23-November-2016,3117.00,3146.00,3095.20,3127.75,3122.909763666746240152,12567,1213,39245607.00,2253,17.93,50.80,10.75
22-November-2016,3135.60,3141.00,3076.10,3120.70,3111.900935934616398629,15172,1389,47213761.00,5049,33.28,64.90,-14.90
