Date,Open,High,Low,Close,Volume,Adj Close
2017-02-06,162.419998,167.419998,162.380005,166.229996,3292500,166.229996
2017-01-30,165.919998,165.990005,160.820007,162.399994,4143600,161.014954
2017-01-23,158.940002,170.00,157.289993,167.699997,5131700,166.26976
2017-01-17,158.199997,160.300003,156.75,159.529999,2843500,158.169449
2017-01-09,159.00,159.940002,156.669998,158.830002,2736000,157.475418
2017-01-03,156.300003,159.699997,155.210007,159.100006,2959400,157.743118
2016-12-27,158.410004,158.479996,154.960007,155.679993,1875200,154.352264
2016-12-19,155.160004,158.990005,155.070007,157.809998,2738600,156.464111
2016-12-12,156.00,160.070007,153.059998,154.50,4463700,153.182343
2016-12-05,153.240005,156.880005,150.020004,156.490005,2984800,155.15538
2016-11-28,149.00,153.080002,148.320007,152.25,3522900,150.951538
2016-11-21,147.210007,150.809998,146.520004,150.039993,2603900,148.760376
2016-11-14,148.210007,150.089996,144.460007,146.350006,3555500,145.101852
2016-11-07,141.50,149.339996,141.289993,148.520004,4327900,147.253342
2016-10-31,143.050003,143.899994,138.800003,139.539993,2867000,137.295593
2016-10-24,136.410004,146.229996,136.410004,143.009995,6957700,140.709778
2016-10-17,133.50,136.949997,133.330002,135.630005,2343300,133.448486
2016-10-10,134.589996,136.869995,131.389999,133.50,3015200,131.352737
2016-10-03,131.279999,135.00,130.740005,133.850006,3264600,131.697113
2016-09-26,131.070007,132.779999,129.860001,131.740005,2250000,129.621063
2016-09-19,127.50,132.479996,127.269997,131.779999,2923800,129.6604
2016-09-12,126.879997,130.679993,126.309998,126.699997,5277300,124.662117
2016-09-06,131.630005,133.080002,128.520004,128.529999,3465400,126.462685
2016-08-29,132.720001,133.580002,128.360001,131.160004,2978900,129.050385
2016-08-22,134.300003,136.369995,131.820007,132.229996,2406600,130.103165
2016-08-15,133.699997,135.960007,133.399994,134.440002,2475900,132.277634
2016-08-08,132.139999,133.779999,131.710007,133.100006,2579600,130.959183
2016-08-01,133.210007,134.229996,130.960007,131.729996,2942200,128.545929
2016-07-25,133.179993,139.449997,132.300003,133.660004,4421800,130.429291
2016-07-18,132.380005,135.669998,130.570007,133.470001,3411300,130.243881
2016-07-11,130.839996,133.25,129.369995,132.389999,3647700,129.189987
2016-07-05,128.429993,130.460007,123.959999,130.089996,3864500,126.94558
2016-06-27,125.68,130.339996,122.349998,129.690002,4576500,126.555252
2016-06-20,131.360001,134.550003,126.209999,126.519997,4727000,123.461868
2016-06-13,130.789993,131.759995,126.900002,129.820007,4298500,126.682114
2016-06-06,127.599998,133.820007,127.449997,131.139999,4588700,127.9702
2016-05-31,129.880005,129.979996,124.779999,127.379997,5463100,124.301079
2016-05-23,127.400002,129.899994,125.879997,129.220001,3863600,126.096611
2016-05-16,131.630005,134.490005,127.089996,127.389999,3923400,124.310844
2016-05-09,132.800003,135.240005,131.820007,132.119995,3731000,128.926514
2016-05-02,134.380005,135.00,130.529999,133.259995,3541900,128.986832
2016-04-25,130.449997,137.889999,129.309998,134.800003,5257900,130.477448
2016-04-18,131.130005,133.850006,128.490005,131.050003,4288700,126.847702
2016-04-11,128.25,131.949997,126.68,131.130005,4180400,126.92514
2016-04-04,126.540001,130.020004,125.580002,127.879997,4446100,123.779343
2016-03-28,132.529999,132.729996,125.110001,126.959999,5659500,122.888847
2016-03-21,133.460007,136.779999,130.029999,132.119995,4898600,127.883385
2016-03-14,123.93,134.679993,123.860001,133.960007,5613000,129.664398
2016-03-07,120.800003,125.50,120.57,124.629997,4102700,120.63356
2016-02-29,118.120003,122.230003,117.50,121.07,4256700,117.187721
2016-02-22,115.160004,119.449997,112.510002,118.160004,4795300,114.37104
2016-02-16,109.730003,118.230003,109.00,115.160004,6904200,111.467239
