Date,Open,High,Low,Close,Volume,Adj Close
2017-02-06,12.55,12.62,12.27,12.51,30327000,12.51
2017-01-30,12.46,12.62,12.19,12.56,39581200,12.56
2017-01-23,12.35,12.80,12.22,12.49,40666000,12.49
2017-01-17,12.65,12.73,12.30,12.36,35576400,12.36
2017-01-09,12.79,13.02,12.35,12.63,42659200,12.429683
2017-01-03,12.20,13.27,12.13,12.76,58523300,12.557621
2016-12-27,12.43,12.51,12.08,12.13,23391900,11.937613
2016-12-19,12.59,12.82,12.36,12.46,20444600,12.262379
2016-12-12,13.08,13.10,12.50,12.63,34823400,12.429683
2016-12-05,12.31,13.20,12.29,13.17,41091900,12.961118
2016-11-28,12.02,12.80,11.87,12.24,45915500,12.045868
2016-11-21,11.77,12.06,11.73,12.04,19409200,11.84904
2016-11-14,12.27,12.50,11.73,11.76,36393600,11.573482
2016-11-07,11.52,12.40,11.07,12.28,49218800,12.085234
2016-10-31,11.75,11.84,11.27,11.34,33429000,11.160143
2016-10-24,12.06,12.20,11.60,11.72,39596700,11.534116
2016-10-17,11.91,12.05,11.71,12.02,25672100,11.683796
2016-10-10,12.35,12.38,11.69,11.91,30262300,11.576872
2016-10-03,12.06,12.53,12.02,12.29,29627000,11.946243
2016-09-26,12.12,12.14,11.93,12.07,28673400,11.732396
2016-09-19,12.12,12.33,11.96,12.17,33412100,11.8296
2016-09-12,12.32,12.77,12.01,12.11,49059200,11.771277
2016-09-06,12.49,12.75,12.38,12.38,32182300,12.033726
2016-08-29,12.38,12.72,12.35,12.50,27180800,12.15037
2016-08-22,12.35,12.55,12.21,12.38,28890300,12.033726
2016-08-15,12.37,12.44,12.23,12.39,21155300,12.043447
2016-08-08,12.22,12.38,12.15,12.33,26353600,11.985125
2016-08-01,12.61,12.62,11.90,12.19,54114800,11.84904
2016-07-25,13.86,13.99,12.45,12.66,58252700,12.305894
2016-07-18,13.56,14.04,13.42,13.84,27405300,13.306979
2016-07-11,13.17,13.70,13.13,13.57,27615100,13.047378
2016-07-05,12.57,13.17,12.21,13.09,36188100,12.585864
2016-06-27,12.43,12.89,12.00,12.72,43072300,12.230114
2016-06-20,13.39,13.55,12.45,12.52,41704400,12.037817
2016-06-13,13.07,13.40,12.76,13.26,28213500,12.749317
2016-06-06,13.08,13.49,13.04,13.10,23717300,12.595479
2016-05-31,13.49,13.56,12.90,13.04,41423200,12.537789
2016-05-23,13.14,13.68,13.11,13.45,19516500,12.931999
2016-05-16,13.22,13.38,13.02,13.19,24504100,12.682013
2016-05-09,13.42,13.54,13.17,13.22,23536200,12.710857
2016-05-02,13.67,13.79,13.14,13.44,35871000,12.922384
2016-04-25,13.59,14.22,13.47,13.56,47828800,13.037764
2016-04-18,12.98,13.88,12.95,13.61,31614300,12.943083
2016-04-11,12.61,13.18,12.58,12.94,25186500,12.305914
2016-04-04,13.11,13.12,12.39,12.55,31026400,11.935025
2016-03-28,13.13,13.52,12.97,13.10,32188300,12.458075
2016-03-21,13.64,13.76,12.78,13.06,28697900,12.420034
2016-03-14,13.28,13.70,13.05,13.64,31815700,12.971613
2016-03-07,13.46,13.74,12.92,13.29,32341500,12.638763
2016-02-29,12.42,13.86,12.39,13.59,43492800,12.924063
2016-02-22,12.10,12.65,11.60,12.47,37309600,11.858946
2016-02-16,11.75,12.44,11.53,12.10,33525600,11.507076
