Date,Open,High,Low,Close,Volume,Adj Close
2017-02-06,124.089996,126.110001,123.949997,125.82,2911200,125.82
2017-01-30,122.809998,124.510002,121.699997,124.239998,3426300,124.239998
2017-01-23,121.690002,122.989998,119.82,122.860001,3988400,122.860001
2017-01-17,120.75,123.00,120.699997,122.260002,3855500,122.260002
2017-01-09,120.760002,122.309998,119.730003,121.50,3198200,121.50
2017-01-03,121.860001,122.00,118.18,120.760002,4159500,120.760002
2016-12-27,123.300003,123.650002,121.440002,121.720001,2340600,121.720001
2016-12-19,123.230003,124.00,122.709999,123.139999,2835300,123.139999
2016-12-12,121.57,123.839996,121.260002,123.239998,5612500,123.239998
2016-12-05,119.449997,121.269997,118.470001,121.260002,3677600,121.260002
2016-11-28,120.379997,121.870003,117.709999,118.239998,5111400,118.239998
2016-11-21,119.800003,120.989998,118.879997,120.660004,2967900,119.728958
2016-11-14,114.989998,120.239998,114.720001,120.00,4680800,119.074043
2016-11-07,112.00,115.419998,111.800003,114.220001,4202200,113.338646
2016-10-31,112.459999,112.849998,110.830002,111.040001,3795500,110.183182
2016-10-24,114.25,114.50,111.400002,112.099998,4216200,111.235001
2016-10-17,113.910004,114.50,110.330002,113.93,7129200,113.05088
2016-10-10,114.209999,115.739998,113.540001,114.089996,4070200,113.209641
2016-10-03,115.010002,115.510002,112.400002,113.449997,3920400,112.574585
2016-09-26,116.800003,117.199997,114.459999,115.360001,4303900,114.469849
2016-09-19,115.830002,117.949997,114.959999,117.169998,3739400,116.265877
2016-09-12,114.470001,116.260002,114.129997,115.279999,5375700,114.390465
2016-09-06,117.089996,119.239998,114.580002,114.580002,4258000,113.695869
2016-08-29,114.599998,116.110001,114.50,115.830002,4567900,114.936226
2016-08-22,115.00,116.120003,113.959999,114.440002,4982800,112.681236
2016-08-15,119.019997,119.25,115.00,115.010002,4537300,113.242477
2016-08-08,119.169998,120.019997,117.599998,119.519997,3305700,117.683159
2016-08-01,117.879997,119.449997,117.110001,119.209999,4206000,117.377922
2016-07-25,127.949997,127.949997,117.43,117.650002,8882600,115.841904
2016-07-18,124.00,128.600006,123.389999,128.259995,4552400,126.288834
2016-07-11,121.690002,124.440002,121.459999,123.610001,4234500,121.710304
2016-07-05,120.120003,121.690002,119.00,121.309998,4431200,119.445648
2016-06-27,118.160004,120.860001,116.080002,120.400002,6790000,118.549637
2016-06-20,123.32,124.080002,118.290001,119.440002,5619500,117.604393
2016-06-13,121.949997,123.970001,120.949997,122.269997,5643800,120.390892
2016-06-06,121.790001,123.379997,120.889999,122.360001,4464100,120.479515
2016-05-31,123.300003,123.410004,120.339996,121.349998,5608200,119.485039
2016-05-23,122.760002,124.769997,122.470001,123.25,4761600,120.470322
2016-05-16,128.509995,129.970001,122.139999,122.559998,6692800,119.795883
2016-05-09,130.649994,131.960007,128.710007,128.830002,5367000,125.924477
2016-05-02,126.650002,130.580002,126.50,130.580002,4884000,127.63501
2016-04-25,125.07,128.850006,125.010002,126.489998,5032200,123.637253
2016-04-18,127.779999,129.800003,125.360001,125.50,6279200,122.669579
2016-04-11,128.350006,128.690002,126.080002,127.779999,5021700,124.898155
2016-04-04,127.050003,128.740005,126.389999,127.959999,4897500,125.074097
2016-03-28,124.00,127.389999,123.120003,127.019997,5944900,124.155296
2016-03-21,123.660004,125.00,122.660004,123.290001,4371200,120.509422
2016-03-14,121.809998,124.120003,121.449997,124.080002,8116500,121.281609
2016-03-07,117.029999,122.010002,116.120003,121.550003,6303700,118.80867
2016-02-29,116.800003,119.190002,115.32,117.18,6091200,114.537224
2016-02-22,116.529999,118.50,115.800003,117.059998,5615500,114.41993
2016-02-16,118.419998,119.459999,115.809998,116.529999,11016400,113.045471
