"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","29-Mar-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1526.2","0","0","0","0","0","7597"
"NIFTY","30-Mar-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1481.55","0","0","0","0","0","7735.2"
"NIFTY","31-Mar-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1466.65","0","0","0","0","0","7738.4"
"NIFTY","01-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1459.75","0","0","0","0","0","7713.05"
"NIFTY","04-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1489.7","0","0","0","0","0","7758.8"
"NIFTY","05-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1678.8","0","0","0","0","0","7603.2"
"NIFTY","06-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1648.9","0","0","0","0","0","7614.35"
"NIFTY","07-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1686.5","0","0","0","0","0","7546.45"
"NIFTY","08-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1658.75","0","0","0","0","0","7555.2"
"NIFTY","11-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1605.45","0","0","0","0","0","7671.4"
"NIFTY","12-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1561.65","0","0","0","0","0","7708.95"
"NIFTY","13-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1514.2","0","0","0","0","0","7850.45"
"NIFTY","18-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1463.55","0","0","0","0","0","7914.7"
"NIFTY","20-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1440","0","0","0","0","0","7914.75"
"NIFTY","21-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1414.3","0","0","0","0","0","7912.05"
"NIFTY","22-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1399.85","0","0","0","0","0","7899.3"
"NIFTY","25-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1414.2","0","0","0","0","0","7855.05"
"NIFTY","26-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1359.8","0","0","0","0","0","7962.65"
"NIFTY","27-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1326.3","0","0","0","0","0","7979.9"
"NIFTY","28-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1450.95","0","0","0","0","0","7847.25"
"NIFTY","29-Apr-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1424.6","0","0","0","0","0","7849.8"
"NIFTY","02-May-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1439.05","0","0","0","0","0","7805.9"
"NIFTY","03-May-2016","28-Dec-2017","PE","10000","0","0","0","887.2","0","1468.15","0","0","0","0","0","7747"
