"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","406.95","0","0","0","0","0","7713.05"
"NIFTY","04-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","390.05","0","0","0","0","0","7758.8"
"NIFTY","05-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","367.65","0","0","0","0","0","7603.2"
"NIFTY","06-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","351.45","0","0","0","0","0","7614.35"
"NIFTY","07-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","320.2","0","0","0","0","0","7546.45"
"NIFTY","08-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","304.7","0","0","0","0","0","7555.2"
"NIFTY","11-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","359.7","0","0","0","0","0","7671.4"
"NIFTY","12-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","357.9","0","0","0","0","0","7708.95"
"NIFTY","13-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","445.75","0","0","0","0","0","7850.45"
"NIFTY","18-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","456.55","0","0","0","0","0","7914.7"
"NIFTY","20-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","433.75","0","0","0","0","0","7914.75"
"NIFTY","21-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","413.1","0","0","0","0","0","7912.05"
"NIFTY","22-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","388.9","0","0","0","0","0","7899.3"
"NIFTY","25-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","355.2","0","0","0","0","0","7855.05"
"NIFTY","26-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","413.35","0","0","0","0","0","7962.65"
"NIFTY","27-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","402.35","0","0","0","0","0","7979.9"
"NIFTY","28-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","377.05","0","0","0","0","0","7847.25"
"NIFTY","29-Apr-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","359.5","0","0","0","0","0","7849.8"
"NIFTY","02-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","327.65","0","0","0","0","0","7805.9"
"NIFTY","03-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","298.8","0","0","0","0","0","7747"
"NIFTY","04-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","272.95","0","0","0","0","0","7706.55"
"NIFTY","05-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","268.05","0","0","0","0","0","7735.5"
"NIFTY","06-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","251.4","0","0","0","0","0","7733.45"
"NIFTY","09-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","329.2","0","0","0","0","0","7866.05"
"NIFTY","10-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","321.4","0","0","0","0","0","7887.8"
"NIFTY","11-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","294.5","0","0","0","0","0","7848.85"
"NIFTY","12-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","305.35","0","0","0","0","0","7900.4"
"NIFTY","13-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","279.45","0","0","0","0","0","7814.9"
"NIFTY","16-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","283.5","0","0","0","0","0","7860.75"
"NIFTY","17-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","281.45","0","0","0","0","0","7890.75"
"NIFTY","18-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","259.15","0","0","0","0","0","7870.15"
"NIFTY","19-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","236.9","0","0","0","0","0","7783.4"
"NIFTY","20-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","215.05","0","0","0","0","0","7749.7"
"NIFTY","23-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","195.25","0","0","0","0","0","7731.05"
"NIFTY","24-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","188.15","0","0","0","0","0","7748.85"
"NIFTY","25-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","334.3","0","0","0","0","0","7934.9"
"NIFTY","26-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","417.9","0","0","0","0","0","8069.65"
"NIFTY","27-May-2016","30-Mar-2017","CE","9000","0","0","0","436.3","0","457.05","0","0","0","0","0","8156.65"
