"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","996.5","0","0","0","0","0","7713.05"
"NIFTY","04-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","994.45","0","0","0","0","0","7758.8"
"NIFTY","05-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","1151.6","0","0","0","0","0","7603.2"
"NIFTY","06-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","1126.75","0","0","0","0","0","7614.35"
"NIFTY","07-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","1165.05","0","0","0","0","0","7546.45"
"NIFTY","08-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","1142.45","0","0","0","0","0","7555.2"
"NIFTY","11-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","1085.35","0","0","0","0","0","7671.4"
"NIFTY","12-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","1046.85","0","0","0","0","0","7708.95"
"NIFTY","13-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","993.25","0","0","0","0","0","7850.45"
"NIFTY","18-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","946.5","0","0","0","0","0","7914.7"
"NIFTY","20-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","927.75","0","0","0","0","0","7914.75"
"NIFTY","21-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","909.1","0","0","0","0","0","7912.05"
"NIFTY","22-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","899.3","0","0","0","0","0","7899.3"
"NIFTY","25-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","914.85","0","0","0","0","0","7855.05"
"NIFTY","26-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","862.4","0","0","0","0","0","7962.65"
"NIFTY","27-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","835.1","0","0","0","0","0","7979.9"
"NIFTY","28-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","944.85","0","0","0","0","0","7847.25"
"NIFTY","29-Apr-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","924.95","0","0","0","0","0","7849.8"
"NIFTY","02-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","941.25","0","0","0","0","0","7805.9"
"NIFTY","03-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","971.5","0","0","0","0","0","7747"
"NIFTY","04-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","986.25","0","0","0","0","0","7706.55"
"NIFTY","05-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","957.15","0","0","0","0","0","7735.5"
"NIFTY","06-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","945.75","0","0","0","0","0","7733.45"
"NIFTY","09-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","896.75","0","0","0","0","0","7866.05"
"NIFTY","10-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","868.9","0","0","0","0","0","7887.8"
"NIFTY","11-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","882.65","0","0","0","0","0","7848.85"
"NIFTY","12-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","841.4","0","0","0","0","0","7900.4"
"NIFTY","13-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","902.7","0","0","0","0","0","7814.9"
"NIFTY","16-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","865.2","0","0","0","0","0","7860.75"
"NIFTY","17-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","834.15","0","0","0","0","0","7890.75"
"NIFTY","18-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","837.05","0","0","0","0","0","7870.15"
"NIFTY","19-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","905.45","0","0","0","0","0","7783.4"
"NIFTY","20-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","919","0","0","0","0","0","7749.7"
"NIFTY","23-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","923.6","0","0","0","0","0","7731.05"
"NIFTY","24-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","901.15","0","0","0","0","0","7748.85"
"NIFTY","25-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","863.6","0","0","0","0","0","7934.9"
"NIFTY","26-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","816.3","0","0","0","0","0","8069.65"
"NIFTY","27-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","768","0","0","0","0","0","8156.65"
"NIFTY","30-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","740.65","0","0","0","0","0","8178.5"
"NIFTY","31-May-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","734.4","0","0","0","0","0","8160.1"
"NIFTY","01-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","709.25","0","0","0","0","0","8179.95"
"NIFTY","02-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","675","0","0","0","0","0","8218.95"
"NIFTY","03-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","658.2","0","0","0","0","0","8220.8"
"NIFTY","06-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","655.65","0","0","0","0","0","8201.05"
"NIFTY","07-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","618.4","0","0","0","0","0","8266.45"
"NIFTY","08-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","601.1","0","0","0","0","0","8273.05"
"NIFTY","09-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","640.35","0","0","0","0","0","8203.6"
"NIFTY","10-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","649.7","0","0","0","0","0","8170.05"
"NIFTY","13-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","683.65","0","0","0","0","0","8110.6"
"NIFTY","14-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","669.8","0","0","0","0","0","8108.85"
"NIFTY","15-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","627.85","0","0","0","0","0","8206.6"
"NIFTY","16-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","666.95","0","0","0","0","0","8140.75"
"NIFTY","17-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","638.3","0","0","0","0","0","8170.2"
"NIFTY","20-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","600.85","0","0","0","0","0","8238.5"
"NIFTY","21-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","599.6","0","0","0","0","0","8219.9"
"NIFTY","22-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","600.1","0","0","0","0","0","8203.7"
"NIFTY","23-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","564.25","0","0","0","0","0","8270.45"
"NIFTY","24-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","754.8","0","0","0","0","0","8088.6"
"NIFTY","27-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","737.9","0","0","0","0","0","8094.7"
"NIFTY","28-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","705.25","0","0","0","0","0","8127.85"
"NIFTY","29-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","662.3","0","0","0","0","0","8204"
"NIFTY","30-Jun-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","619.55","0","0","0","0","0","8287.75"
"NIFTY","01-Jul-2016","30-Mar-2017","PE","9000","0","0","0","998.7","0","588.4","0","0","0","0","0","8328.35"
