Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,344.00,362.90,343.25,355.05,351.550029571482337760,18599,803,6538479.00,5244,28.20,19.65,11.05
29-December-2016,340.00,345.75,336.80,342.95,341.197843137254901960,10200,681,3480218.00,991,9.72,8.95,2.95
28-December-2016,332.80,342.15,331.00,333.00,336.462458956585187887,13705,742,4611218.00,4732,34.53,11.15,0.20
27-December-2016,333.00,338.90,320.95,332.15,331.278808085017712023,9598,1277,3179614.00,1384,14.42,17.95,-0.85
26-December-2016,335.00,335.00,311.20,322.90,327.821511821511821511,3003,197,984448.00,1208,40.23,23.80,-12.10
23-December-2016,343.45,349.20,334.55,338.55,342.060513912117986924,6577,1279,2249732.00,890,13.53,14.65,-4.90
22-December-2016,354.70,355.80,340.00,342.40,345.857481481481481481,3375,200,1167269.00,1564,46.34,15.80,-12.30
21-December-2016,363.00,363.60,354.50,355.85,358.729559748427672955,2862,210,1026684.00,982,34.31,9.10,-7.15
20-December-2016,361.35,373.20,356.65,360.35,364.986622625928984310,6055,530,2209994.00,2002,33.06,16.55,-1.00
19-December-2016,376.90,376.90,365.10,368.60,371.024824538601507668,7694,493,2854665.00,2665,34.64,11.80,-8.30
16-December-2016,376.00,388.00,371.00,374.20,378.393722634065981705,23067,1098,8728408.00,4396,19.06,17.00,-1.80
15-December-2016,367.85,376.50,365.00,368.40,371.304074986098975295,12589,2066,4674347.00,1391,11.05,11.50,0.55
14-December-2016,376.00,381.95,367.50,368.85,373.474737762237762237,11440,972,4272551.00,2493,21.79,14.45,-7.15
13-December-2016,372.00,387.60,371.00,375.85,380.521897617412435944,18929,1413,7202899.00,3426,18.10,16.60,3.85
12-December-2016,381.60,384.75,369.00,371.60,376.064170240844605740,6062,329,2279701.00,1299,21.43,15.75,-10.00
9-December-2016,382.05,392.00,380.00,383.60,385.964561710641490558,39985,1618,15432793.00,6162,15.41,12.00,1.55
8-December-2016,344.50,380.60,344.50,376.15,372.560371248123286141,80593,4305,30025758.00,9013,11.18,36.10,31.65
7-December-2016,353.25,353.40,335.00,343.05,346.368937482478273058,7134,383,2470996.00,1639,22.97,18.40,-10.20
6-December-2016,351.00,356.00,348.00,349.05,351.157043879907621247,5196,297,1824612.00,1309,25.19,8.00,-1.95
5-December-2016,351.60,359.65,346.00,348.50,351.069542115955618065,6399,497,2246494.00,3141,49.09,13.65,-3.10
2-December-2016,365.00,365.00,349.00,350.85,355.359480269489894128,10390,664,3692185.00,3443,33.14,16.00,-14.15
1-December-2016,365.70,370.00,360.00,361.55,363.421833141982395713,10452,735,3798485.00,4407,42.16,10.00,-4.15
30-November-2016,361.95,368.45,359.50,360.25,363.192750466708151835,6428,421,2334603.00,2210,34.38,8.95,-1.70
29-November-2016,358.00,370.85,358.00,361.25,363.709085697907709945,13956,1088,5075924.00,4428,31.73,12.85,3.25
