Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,79.30,82.00,79.30,80.60,80.721928277483833039,10206,133,823848.00,7636,74.82,2.70,1.30
29-December-2016,80.50,80.75,78.90,79.25,79.686232765612327656,9864,103,786025.00,7067,71.64,1.85,-1.25
28-December-2016,80.55,82.05,80.25,80.60,80.976151374509103891,14005,136,1134071.00,4808,34.33,1.80,0.05
27-December-2016,78.75,82.75,77.05,79.60,79.919782489567086793,23723,354,1895937.00,10634,44.83,5.70,0.85
26-December-2016,79.25,81.25,78.00,78.45,79.240709254311391790,8234,149,652468.00,3690,44.81,3.25,-0.80
23-December-2016,79.30,81.70,79.20,80.05,80.575093214019388516,6705,103,540256.00,4399,65.61,2.50,0.75
22-December-2016,81.95,83.10,80.00,80.05,81.002475094362972588,16161,213,1309081.00,6637,41.07,3.10,-1.90
21-December-2016,81.40,81.95,80.55,81.00,81.154247163446795461,3261,65,264644.00,1740,53.36,1.40,-0.40
20-December-2016,81.85,82.00,80.70,81.10,81.465265082266910420,4376,55,356492.00,3337,76.26,1.30,-0.75
19-December-2016,81.75,84.00,81.00,81.25,82.329555516203293784,11294,365,929830.00,4304,38.11,3.00,-0.50
16-December-2016,82.70,82.85,81.50,81.75,81.959501557632398753,5136,75,420944.00,2934,57.13,1.35,-0.95
15-December-2016,81.50,82.95,81.20,81.55,81.846188340807174887,4460,74,365034.00,2203,49.39,1.75,0.05
14-December-2016,82.50,82.70,81.00,81.15,81.454045478582760444,9455,123,770148.00,5596,59.19,1.70,-1.35
13-December-2016,81.90,84.40,81.50,82.20,82.657516092389246497,21128,326,1746388.00,7028,33.26,2.90,0.30
12-December-2016,83.00,85.95,81.60,82.05,84.114768828622774056,61210,1067,5148665.00,21277,34.76,4.35,-0.95
9-December-2016,81.20,84.20,81.00,81.75,82.471724660425347691,18479,259,1523995.00,8240,44.59,3.20,0.55
8-December-2016,82.10,82.60,80.90,81.15,82.044853263250109505,11415,144,936542.00,7567,66.29,1.70,-0.95
