Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,896.75,908.15,896.75,905.60,904.329925098085839971,8411,973,7606319.00,3665,43.57,11.40,8.85
29-December-2016,890.00,898.20,888.00,892.80,894.271635464500176616,2831,297,2531683.00,963,34.02,10.20,2.80
28-December-2016,887.50,897.10,884.00,890.70,891.172732732732732732,8325,819,7419013.00,1523,18.29,13.10,3.20
27-December-2016,890.00,892.80,861.90,885.85,877.776600957370623044,26531,2073,23288291.00,4514,17.01,30.90,-4.15
26-December-2016,897.15,904.10,890.00,892.75,895.181517085386541723,12379,1245,11081452.00,3403,27.49,14.10,-4.40
23-December-2016,900.50,916.55,892.00,903.20,900.047202176741985094,16906,819,15216198.00,5565,32.92,24.55,2.70
22-December-2016,910.80,910.80,896.85,903.95,901.626361753848924101,11107,1146,10014364.00,7158,64.45,13.95,-6.85
21-December-2016,910.20,910.20,900.00,906.60,905.954309863647237062,12541,836,11361573.00,5023,40.05,10.20,-3.60
20-December-2016,906.00,911.95,901.60,910.00,907.007538461538461538,6500,907,5895549.00,3024,46.52,10.35,4.00
19-December-2016,927.00,934.00,902.50,909.00,906.426935091981950711,5762,636,5222832.00,1659,28.79,31.50,-18.00
16-December-2016,906.15,916.80,902.80,911.05,910.793033065723227650,7349,433,6693418.00,4078,55.49,14.00,4.90
15-December-2016,905.00,912.00,899.00,909.60,907.462672811059907834,9765,771,8861373.00,5472,56.04,13.00,4.60
14-December-2016,917.00,920.50,903.05,905.55,911.926930711787503544,10579,1053,9647275.00,5116,48.36,17.45,-11.45
13-December-2016,909.95,917.95,906.20,912.90,911.375202492211838006,8025,651,7313786.00,2485,30.97,11.75,2.95
12-December-2016,924.00,924.00,902.70,908.05,908.673507676991997549,26117,2309,23731826.00,16176,61.94,21.30,-15.95
9-December-2016,924.00,925.00,920.00,921.60,922.228167623279639572,16203,2188,14942863.00,6601,40.74,5.00,-2.40
8-December-2016,925.00,944.90,920.30,922.80,930.788452277761725898,20766,1749,19328753.00,5070,24.41,24.60,-2.20
7-December-2016,922.00,926.95,917.40,921.20,922.207188498402555910,6260,618,5773017.00,4149,66.28,9.55,-0.80
6-December-2016,921.00,926.00,918.95,923.70,922.691083640189374013,7604,926,7016143.00,4469,58.77,7.05,2.70
5-December-2016,928.00,935.05,923.00,925.45,926.992877142997494719,20357,2295,18870794.00,10121,49.72,12.05,-2.55
2-December-2016,934.00,943.80,914.55,926.20,932.551201372997711670,17480,1253,16300995.00,6431,36.79,29.25,-7.80
1-December-2016,936.00,946.50,924.75,930.95,933.730467231594495840,12863,1387,12010575.00,4530,35.22,21.75,-5.05
30-November-2016,948.20,948.20,931.50,934.15,935.350284051544963281,7217,686,6750423.00,3085,42.75,16.70,-14.05
29-November-2016,933.00,945.00,931.00,939.40,939.245128951410785027,12369,1169,11617523.00,3071,24.83,14.00,6.40
28-November-2016,930.00,937.90,920.25,931.00,928.464167478091528724,10270,1206,9535327.00,2919,28.42,17.65,1.00
25-November-2016,939.45,939.45,920.30,922.75,926.525197564451353802,15438,1594,14303696.00,6883,44.58,19.15,-16.70
24-November-2016,923.00,938.00,913.90,933.70,928.468690585709904937,16305,1951,15138682.00,3741,22.94,24.10,10.70
23-November-2016,904.85,928.95,898.85,922.45,915.439362937565669413,18083,2094,16553890.00,5572,30.81,30.10,17.60
22-November-2016,894.00,908.50,880.00,904.35,891.591871869782971619,19168,1852,17090033.00,4268,22.27,28.50,10.35
21-November-2016,920.00,921.60,885.10,887.40,899.053064421382416291,15321,1846,13774392.00,6135,40.04,36.50,-32.60
18-November-2016,926.05,934.00,915.30,917.15,925.932676980778246601,21330,2372,19750144.00,8496,39.83,18.70,-8.90
17-November-2016,920.00,935.80,920.00,926.60,925.989526686807653575,9930,1798,9195076.00,5061,50.97,15.80,6.60
16-November-2016,920.00,937.75,912.00,926.45,926.487508566444458289,16051,1782,14871051.00,5132,31.97,25.75,6.45
15-November-2016,950.00,950.00,897.00,913.90,915.237540857174336185,27229,2425,24921003.00,7796,28.63,53.00,-36.10
11-November-2016,954.45,962.20,942.50,948.90,952.179232192414431082,12972,1280,12351669.00,4720,36.39,19.70,-5.55
10-November-2016,981.25,986.45,958.95,963.85,977.080332249070631970,17216,1387,16821415.00,7122,41.37,27.50,-17.40
9-November-2016,911.00,976.00,902.30,970.10,946.066181847728934752,49228,3250,46572946.00,12851,26.11,73.70,59.10
8-November-2016,980.00,984.80,967.20,979.50,977.395014335001700762,20579,1856,20113812.00,8843,42.97,17.60,-0.50
7-November-2016,990.00,993.35,972.30,977.35,984.360126916975145425,15128,1296,14891400.00,6157,40.70,21.05,-12.65
