Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,110.55,113.25,110.05,111.35,111.607978703322963209,980059,6985,109382404.00,75477,7.70,3.20,0.80
29-December-2016,107.05,111.20,106.50,110.20,108.717913296137937520,616743,5244,67051012.00,81206,13.17,4.70,3.15
28-December-2016,108.10,109.45,106.15,107.70,107.932720749844316641,873568,6075,94286571.00,61016,6.98,3.30,-0.40
27-December-2016,103.45,109.40,101.05,108.40,104.508547607228311461,1970142,11207,205896679.00,286107,14.52,8.35,4.95
26-December-2016,112.30,112.90,104.40,105.35,107.387508239824515014,1342565,8467,144174710.00,269798,20.10,8.50,-6.95
23-December-2016,114.90,116.00,113.05,113.50,114.384467069569397706,582440,4510,66622089.00,102362,17.57,2.95,-1.40
22-December-2016,117.30,118.40,114.40,115.30,116.587322954731456174,1100919,8281,128353199.00,230776,20.96,4.00,-2.00
21-December-2016,113.00,118.30,113.00,117.50,116.360389318267881737,1011409,7632,117687945.00,247350,24.46,5.30,4.50
20-December-2016,113.00,113.80,111.40,112.90,112.617782946894439761,562314,3964,63326556.00,118834,21.13,2.40,-0.10
19-December-2016,112.95,112.95,111.30,111.80,111.995500633531485509,348049,2634,38979922.00,55945,16.07,1.65,-1.15
16-December-2016,112.85,113.25,111.05,111.75,111.958593161038408752,517330,2277,57919539.00,55881,10.80,2.20,-1.10
15-December-2016,112.00,114.00,111.00,112.80,112.956289159683410037,567548,3466,64108116.00,40601,7.15,3.00,0.80
14-December-2016,113.05,114.50,111.60,112.70,113.384176760282177558,1502600,3334,170371064.00,841032,55.97,2.90,-0.35
13-December-2016,114.35,114.35,111.00,112.20,112.474343662043989612,624602,3316,70251700.00,70129,11.23,3.35,-2.15
12-December-2016,115.60,116.80,112.30,113.30,113.851174722934541494,924601,4755,105266910.00,157706,17.06,4.50,-2.30
9-December-2016,113.50,115.60,113.20,114.90,114.358869781498221497,673038,4146,76967865.00,88114,13.09,2.40,1.40
8-December-2016,114.00,114.95,112.60,113.30,113.796251576749536612,648486,3538,73795276.00,67578,10.42,2.35,-0.70
7-December-2016,116.10,117.40,110.90,111.90,114.358802767631123423,1021957,4805,116869779.00,110614,10.82,6.50,-4.20
6-December-2016,115.45,116.95,114.45,116.00,115.989775000670439003,932225,4817,108128568.00,116715,12.52,2.50,0.55
5-December-2016,110.00,115.25,109.40,113.35,111.540553901790394483,1039715,5416,115970387.00,111453,10.72,5.85,3.35
2-December-2016,110.00,111.90,109.20,109.75,110.244639910673461138,1207256,6154,133093503.00,102820,8.52,2.70,-0.25
1-December-2016,115.40,115.90,111.50,112.35,113.334119479021171651,1234292,5375,139887397.00,131493,10.65,4.40,-3.05
30-November-2016,115.05,116.15,113.35,115.05,114.588914075895604516,775091,3356,88816836.00,82245,10.61,2.80,0.00
29-November-2016,113.00,116.80,113.00,114.90,115.455771038233023396,1191640,5890,137581715.00,99604,8.36,3.80,1.90
28-November-2016,112.00,114.55,111.75,112.90,113.165222809741540140,1073629,4977,121497465.00,86454,8.05,2.80,0.90
25-November-2016,114.00,114.50,110.10,112.35,112.228328712177024012,1774087,7647,199102819.00,141710,7.99,4.40,-1.65
24-November-2016,114.30,115.70,112.10,113.15,113.624147525387983403,1395936,6465,158612038.00,161173,11.55,3.60,-1.15
23-November-2016,112.65,117.45,112.30,116.85,115.203093709993857940,1525547,8278,175747734.00,130178,8.53,5.15,4.20
22-November-2016,109.00,112.70,103.85,111.00,107.921677139675469296,3017280,13336,325629918.00,96465,3.20,8.85,2.00
21-November-2016,116.95,117.00,107.40,108.65,110.045999167060968084,2293085,9394,252344830.00,366089,15.96,9.60,-8.30
18-November-2016,112.90,117.20,110.50,116.40,114.314098487971476240,1797519,8729,205481764.00,145795,8.11,6.70,3.50
17-November-2016,108.90,113.35,107.35,112.20,110.479791615814501525,1564994,7723,172900211.00,227423,14.53,6.00,3.30
16-November-2016,116.10,118.60,108.00,108.60,111.588813217825277979,2393253,9773,267060262.00,615905,25.74,10.60,-7.50
15-November-2016,117.00,118.20,110.60,114.40,113.956843974717973820,1769162,8104,201608118.00,274868,15.54,7.60,-2.60
11-November-2016,120.70,121.50,113.00,116.70,117.474413636052293052,2131526,14196,250399767.00,321866,15.10,8.50,-4.00
10-November-2016,120.90,133.45,120.35,124.85,127.907520289685500377,2632372,18776,336700175.00,419174,15.92,13.10,3.95
