Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,2730.00,2750.00,2666.85,2730.35,2719.081578947368421052,760,215,2066502.00,382,50.26,83.15,0.35
29-December-2016,2700.00,2725.00,2692.00,2719.80,2712.883152173913043478,368,72,998341.00,302,82.07,33.00,19.80
28-December-2016,2676.15,2715.80,2676.15,2694.25,2696.016897081413210445,651,125,1755107.00,429,65.90,39.65,18.10
27-December-2016,2720.70,2723.50,2676.00,2701.50,2691.261796042617960426,657,211,1768159.00,342,52.05,47.50,-19.20
26-December-2016,2696.00,2728.80,2665.00,2705.75,2689.132046332046332046,1295,279,3482426.00,827,63.86,63.80,9.75
23-December-2016,2706.50,2735.00,2697.00,2718.45,2717.462871287128712871,404,84,1097855.00,209,51.73,38.00,11.95
22-December-2016,2715.95,2715.95,2693.00,2706.50,2702.866666666666666666,435,87,1175747.00,303,69.66,22.95,-9.45
21-December-2016,2720.00,2742.00,2699.00,2721.55,2716.061475409836065573,976,293,2650876.00,511,52.36,43.00,1.55
20-December-2016,2702.00,2723.90,2690.05,2703.60,2702.789473684210526315,304,58,821648.00,235,77.30,33.85,1.60
19-December-2016,2704.55,2709.95,2675.00,2699.40,2689.757334450963956412,2386,351,6417761.00,1252,52.47,34.95,-5.15
16-December-2016,2746.30,2750.00,2713.00,2722.40,2734.707812500000000000,640,174,1750213.00,454,70.94,37.00,-23.90
15-December-2016,2704.00,2749.00,2704.00,2726.05,2731.122241086587436332,589,145,1608631.00,296,50.25,45.00,22.05
14-December-2016,2712.00,2742.00,2712.00,2727.80,2727.111864406779661016,295,99,804498.00,195,66.10,30.00,15.80
13-December-2016,2725.00,2734.95,2714.00,2730.05,2725.993506493506493506,154,71,419803.00,96,62.34,20.95,5.05
12-December-2016,2747.95,2760.00,2715.00,2735.10,2725.366032210834553440,683,101,1861425.00,424,62.08,45.00,-12.85
9-December-2016,2716.65,2760.00,2716.65,2746.90,2740.041707080504364694,1031,232,2824983.00,467,45.30,43.35,30.25
8-December-2016,2716.00,2750.00,2716.00,2732.60,2732.098360655737704918,244,75,666632.00,125,51.23,34.00,16.60
7-December-2016,2733.00,2760.00,2714.00,2723.30,2731.447093889716840536,671,208,1832801.00,287,42.77,46.00,-9.70
6-December-2016,2765.00,2771.60,2730.00,2760.80,2759.091743119266055045,763,199,2105187.00,297,38.93,41.60,-4.20
5-December-2016,2688.00,2785.00,2688.00,2771.60,2756.003719776813391196,1613,439,4445434.00,717,44.45,97.00,83.60
2-December-2016,2700.00,2730.00,2670.00,2715.30,2708.633401221995926680,982,277,2659878.00,726,73.93,60.00,15.30
1-December-2016,2676.40,2730.00,2637.00,2688.20,2682.205383265067290813,1709,449,4583889.00,953,55.76,93.00,11.80
30-November-2016,2681.15,2715.00,2632.00,2693.50,2687.343721356553620531,1091,381,2931892.00,661,60.59,83.00,12.35
29-November-2016,2726.00,2726.90,2681.10,2686.45,2693.703225806451612903,930,196,2505144.00,762,81.94,45.80,-39.55
28-November-2016,2670.00,2730.00,2665.00,2720.80,2707.353327855382087099,1217,263,3294849.00,878,72.14,65.00,50.80
25-November-2016,2647.00,2692.00,2623.85,2669.25,2654.193013617525162818,1689,545,4482932.00,723,42.81,68.15,22.25
24-November-2016,2661.00,2666.85,2627.05,2652.30,2646.585461689587426326,1018,203,2694224.00,765,75.15,39.80,-8.70
23-November-2016,2619.55,2653.00,2618.00,2646.85,2638.167636786961583236,859,265,2266186.00,494,57.51,35.00,27.30
22-November-2016,2685.05,2700.00,2610.00,2619.55,2639.765217391304347826,1150,316,3035730.00,821,71.39,90.00,-65.50
21-November-2016,2710.00,2712.45,2662.00,2677.30,2680.068010075566750629,1588,301,4255948.00,926,58.31,50.45,-32.70
18-November-2016,2695.00,2725.00,2675.00,2709.70,2700.700223713646532438,1341,475,3621639.00,815,60.78,50.00,14.70
17-November-2016,2628.00,2700.00,2628.00,2687.30,2666.768261964735516372,794,295,2117414.00,438,55.16,72.00,59.30
16-November-2016,2648.80,2679.90,2628.10,2654.20,2644.530337078651685393,890,278,2353632.00,467,52.47,51.80,5.40
15-November-2016,2644.20,2675.95,2600.00,2650.05,2623.462568951930654058,1269,226,3329174.00,909,71.63,75.95,5.85
11-November-2016,2618.00,2650.00,2602.00,2637.05,2626.941917424772568229,1429,479,3753900.00,905,63.33,48.00,19.05
10-November-2016,2654.00,2667.00,2605.40,2616.45,2623.435146443514644351,3585,944,9405015.00,2124,59.25,61.60,-37.55
9-November-2016,2701.00,2722.80,2625.00,2656.55,2668.910510901399284087,3073,1053,8201562.00,2216,72.11,97.80,-44.45
8-November-2016,2785.00,2790.40,2710.00,2719.05,2731.573454339194554736,1763,910,4815764.00,1105,62.68,80.40,-65.95
7-November-2016,2807.75,2850.00,2756.60,2771.25,2797.601688693098384728,2724,644,7620667.00,1524,55.95,93.40,-36.50
4-November-2016,2799.00,2865.00,2731.10,2774.80,2764.141205112598904443,3286,995,9082968.00,1919,58.40,133.90,-24.20
3-November-2016,2808.05,2846.85,2776.70,2814.90,2808.838294993234100135,1478,452,4151463.00,779,52.71,70.15,6.85
2-November-2016,2843.00,2887.90,2802.20,2812.65,2843.351670951156812339,1945,592,5530319.00,628,32.29,85.70,-30.35
1-November-2016,2943.00,2958.95,2824.00,2859.90,2891.156828193832599118,1135,404,3281463.00,647,57.00,134.95,-83.10
30-October-2016,2970.00,2970.00,2908.15,2944.25,2939.742782152230971128,381,93,1120042.00,282,74.02,61.85,-25.75
28-October-2016,2932.05,2999.90,2900.00,2909.90,2932.973920863309352517,1112,309,3261467.00,534,48.02,99.90,-22.15
27-October-2016,2913.00,2937.80,2901.00,2909.95,2912.396929824561403508,1368,253,3984159.00,873,63.82,36.80,-3.05
26-October-2016,2915.10,2949.55,2913.05,2920.20,2923.334482758620689655,580,174,1695534.00,357,61.55,36.50,5.10
25-October-2016,2950.60,2969.95,2925.00,2935.50,2934.387826086956521739,1150,206,3374546.00,811,70.52,44.95,-15.10
24-October-2016,2967.30,2988.00,2929.00,2946.95,2945.306941431670281995,922,250,2715573.00,563,61.06,59.00,-20.35
21-October-2016,2960.30,2970.00,2948.00,2960.20,2960.341603053435114503,524,138,1551219.00,241,45.99,22.00,-0.10
20-October-2016,2960.05,2989.00,2950.00,2959.55,2970.922288181327576902,1853,414,5505119.00,1114,60.12,39.00,-0.50
19-October-2016,2975.00,2995.00,2951.95,2976.00,2970.302479338842975206,605,226,1797033.00,310,51.24,43.05,1.00
18-October-2016,2959.05,2990.00,2959.05,2971.75,2972.474929044465468306,1057,202,3141906.00,706,66.79,30.95,12.70
17-October-2016,2928.00,2980.00,2928.00,2959.00,2951.348432055749128919,861,209,2541111.00,489,56.79,52.00,31.00
14-October-2016,2938.10,2965.95,2930.00,2957.10,2947.051210797935688765,2519,184,7423622.00,2324,92.26,35.95,19.00
13-October-2016,2921.00,2949.10,2902.00,2925.10,2927.843819393042190969,1351,262,3955517.00,829,61.36,47.10,4.10
10-October-2016,2940.95,2941.00,2901.80,2924.05,2909.810481736368448914,1889,184,5496632.00,1530,81.00,39.20,-16.90
7-October-2016,2906.25,2955.40,2869.15,2914.90,2902.844556324732536186,1589,380,4612620.00,665,41.85,86.25,8.65
6-October-2016,2876.15,2948.75,2872.00,2915.65,2913.602631578947368421,1900,680,5535845.00,1004,52.84,76.75,39.50
5-October-2016,2872.00,2880.05,2825.00,2875.50,2872.585563665855636658,1233,415,3541898.00,663,53.77,55.05,3.50
4-October-2016,2800.05,2910.00,2800.05,2872.20,2847.322123893805309734,1130,366,3217474.00,695,61.50,109.95,72.15
3-October-2016,2785.75,2824.50,2785.00,2813.25,2802.746423927178153446,769,181,2155312.00,463,60.21,39.50,27.50
30-September-2016,2810.05,2812.75,2752.05,2781.80,2785.987337765115542893,3159,782,8800934.00,1626,51.47,60.70,-28.25
29-September-2016,2815.00,2875.00,2780.00,2804.55,2826.285671641791044776,3350,881,9468057.00,1704,50.87,95.00,-10.45
28-September-2016,2820.00,2850.00,2766.00,2829.90,2835.830638641875505254,12370,464,35079225.00,11622,93.95,84.00,9.90
27-September-2016,2790.05,2835.00,2790.05,2815.00,2809.938249025364585840,41554,541,116764174.00,40754,98.07,44.95,24.95
26-September-2016,2798.50,2823.45,2786.00,2797.05,2807.648791985857395403,1697,329,4764580.00,1268,74.72,37.45,-1.45
23-September-2016,2800.05,2822.00,2793.00,2801.20,2804.504980511043741879,2309,430,6475602.00,1583,68.56,29.00,1.15
22-September-2016,2817.90,2835.00,2786.50,2794.95,2797.883441480413362172,12483,862,34925979.00,11010,88.20,48.50,-22.95
21-September-2016,2830.00,2850.00,2801.00,2812.40,2822.453484705140334279,3171,621,8950000.00,2440,76.95,49.00,-17.60
20-September-2016,2850.00,2850.00,2826.00,2829.75,2835.056759098786828422,2308,810,6543311.00,1749,75.78,24.00,-20.25
19-September-2016,2850.00,2896.00,2830.00,2840.10,2854.023303457106274007,3905,813,11144961.00,2424,62.07,66.00,-9.90
16-September-2016,2975.00,2980.00,2803.25,2839.95,2874.423447986577181208,9536,1423,27410502.00,4699,49.28,176.75,-135.05
15-September-2016,2965.00,2997.00,2959.00,2977.10,2972.811418685121107266,578,269,1718285.00,267,46.19,38.00,12.10
14-September-2016,2995.00,3005.55,2955.00,2959.30,2967.722257857601026298,1559,417,4626679.00,897,57.54,50.55,-35.70
12-September-2016,3002.00,3003.20,2976.50,2980.75,2984.484021823850350740,1283,253,3829093.00,872,67.97,26.70,-21.25
9-September-2016,3008.65,3032.95,2980.00,2993.05,3005.801652892561983471,968,293,2909616.00,524,54.13,52.95,-15.60
8-September-2016,3008.00,3035.00,2985.10,2999.75,2999.022148394241417497,1806,445,5416234.00,1342,74.31,49.90,-8.25
