Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,69.90,72.25,69.70,71.30,71.252636213787341657,1240036,4689,88355834.00,485123,39.12,2.55,1.40
29-December-2016,70.50,71.25,69.40,69.90,70.362001783750552010,461948,2026,32503586.00,190167,41.17,1.85,-0.60
28-December-2016,70.35,72.30,69.35,70.75,71.161107764940651103,821835,5340,58482689.00,274636,33.42,2.95,0.40
27-December-2016,69.10,71.05,65.50,70.15,68.984481626238678154,1767711,6195,121944627.00,730162,41.31,5.55,1.05
26-December-2016,70.00,70.30,67.85,69.55,68.834927696497212075,942278,3160,64861638.00,578743,61.42,2.45,-0.45
23-December-2016,68.70,71.15,68.70,70.50,70.467524554964303788,203523,1046,14341762.00,52627,25.86,2.45,1.80
22-December-2016,70.60,71.50,70.00,70.75,70.600233045573757481,277199,1388,19570314.00,54125,19.53,1.50,0.15
21-December-2016,70.50,71.95,69.70,71.35,71.070529008425887333,611805,2091,43481305.00,270045,44.14,2.25,0.85
20-December-2016,72.00,72.40,69.45,70.45,70.449197944651660189,383390,1524,27009518.00,64935,16.94,2.95,-1.55
19-December-2016,69.95,72.45,65.00,72.20,71.168610902401741067,926328,2743,65925477.00,423843,45.76,7.45,2.25
16-December-2016,71.10,71.10,69.25,69.90,69.899184581171237954,299478,1090,20933268.00,73528,24.55,1.85,-1.20
15-December-2016,69.15,71.90,69.15,70.70,70.975656467184502657,317990,1514,22569549.00,52669,16.56,2.75,1.55
14-December-2016,70.75,72.00,69.60,70.45,70.694135496705124844,881217,2192,62296874.00,275413,31.25,2.40,-0.30
13-December-2016,72.55,72.55,69.95,70.25,70.702218256297236761,667912,1930,47222860.00,101304,15.17,2.60,-2.30
12-December-2016,71.10,73.50,69.70,72.55,72.032009114524692677,1043609,3212,75173253.00,68331,6.55,3.80,1.45
9-December-2016,71.45,72.40,70.30,71.50,71.299412023555443870,879457,2394,62704767.00,102713,11.68,2.10,0.05
8-December-2016,68.25,72.90,68.25,71.45,71.431278523318545343,1429313,4182,102097655.00,257665,18.03,4.65,3.20
7-December-2016,69.60,70.05,67.10,67.70,68.544285273849173437,921164,2296,63140528.00,87018,9.45,2.95,-1.90
6-December-2016,69.90,70.65,69.00,69.25,69.971503018445919406,799418,2254,55936479.00,71217,8.91,1.65,-0.65
5-December-2016,67.85,69.65,67.55,69.15,68.781324774018903903,1066129,2353,73329765.00,80175,7.52,2.10,1.30
2-December-2016,67.25,68.95,66.20,68.15,67.582836299787013743,2032056,4353,137332108.00,218905,10.77,2.75,0.90
1-December-2016,69.80,70.65,68.25,68.80,69.211797554930804157,780755,2339,54037457.00,130441,16.71,2.40,-1.00
30-November-2016,70.00,70.85,68.65,70.05,69.808417334224723153,1269927,3130,88651594.00,335723,26.44,2.20,0.05
29-November-2016,67.75,71.20,67.75,69.85,69.948883610325645617,1512196,3967,105776422.00,114866,7.60,3.45,2.10
28-November-2016,69.10,71.20,68.15,68.45,69.352087324075719532,917227,3178,63611607.00,149471,16.30,3.05,-0.65
25-November-2016,68.00,71.45,66.45,70.55,68.882212650371191717,3048290,7121,209972960.00,1054884,34.61,5.00,2.55
24-November-2016,68.90,71.40,66.05,66.65,68.621429837069787456,3199959,10823,219585762.00,337785,10.56,5.35,-2.25
23-November-2016,64.40,70.00,63.65,69.05,66.833563442914605185,2524884,8827,168746995.00,404971,16.04,6.35,4.65
22-November-2016,60.70,63.25,57.05,62.70,60.643656304616063771,1658166,5063,100557249.00,248443,14.98,6.20,2.00
21-November-2016,65.70,66.40,59.90,60.45,61.860955691625174459,1772622,4044,109656091.00,578897,32.66,6.50,-5.25
18-November-2016,65.00,66.90,64.90,65.75,65.913196457616074131,779588,2349,51385137.00,128170,16.44,2.00,0.75
17-November-2016,66.25,67.30,64.75,65.30,65.760020619167781597,944752,2438,62126911.00,139553,14.77,2.55,-0.95
16-November-2016,68.50,69.70,65.80,66.30,67.913698457770866668,1064952,3974,72324829.00,91405,8.58,3.90,-2.20
15-November-2016,72.05,72.15,65.25,66.80,66.713136665057337509,2423370,6665,161670614.00,931932,38.46,6.90,-5.25
11-November-2016,64.05,73.55,62.10,71.90,68.345301686657641571,5642046,21596,385607336.00,590131,10.46,11.45,7.85
10-November-2016,68.90,72.40,66.10,67.85,69.362351581654165083,1921090,7693,133251320.00,308412,16.05,6.30,-1.05
