Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,113.00,116.00,112.50,115.60,115.013072893524242833,1015001,5671,116738384.00,165236,16.28,3.50,2.60
29-December-2016,113.80,114.60,112.00,113.30,112.966373353133519085,930631,6273,105130009.00,195483,21.01,2.60,-0.50
28-December-2016,116.55,117.35,113.50,113.85,115.748962889963111992,1026892,6200,118861684.00,242389,23.60,3.85,-2.70
27-December-2016,114.05,116.75,112.60,116.10,114.398835388645575882,931813,7317,106598322.00,170223,18.27,4.15,2.05
26-December-2016,120.00,120.00,114.60,115.10,116.676194115052725980,882013,7305,102909920.00,274276,31.10,5.40,-4.90
23-December-2016,119.35,121.35,119.00,119.95,120.291624125742846867,759073,4725,91310124.00,161082,21.22,2.35,0.60
22-December-2016,119.80,120.30,118.05,119.35,119.174391864662556697,583135,6386,69494759.00,137251,23.54,2.25,-0.45
21-December-2016,121.60,122.30,120.00,120.55,121.068160150811438932,833889,5010,100957407.00,160411,19.24,2.30,-1.05
20-December-2016,124.40,125.20,121.00,121.60,122.283309907625929844,724987,4390,88653810.00,162901,22.47,4.20,-2.80
19-December-2016,125.45,125.45,123.65,124.40,124.533119148698285755,608198,3141,75740794.00,275933,45.37,1.80,-1.05
16-December-2016,126.95,127.30,124.60,125.15,125.833759364266190504,564513,3486,71034793.00,145276,25.73,2.70,-1.80
15-December-2016,125.00,128.40,124.70,126.25,126.642478972574995830,839380,5508,106301164.00,193077,23.00,3.70,1.25
14-December-2016,129.80,129.95,126.55,127.05,128.065338184248249896,670389,5493,85853594.00,240262,35.84,3.40,-2.75
13-December-2016,130.90,131.40,127.90,129.45,129.541181548383414661,841032,4544,108948279.00,247373,29.41,3.50,-1.45
12-December-2016,135.60,135.60,130.40,130.90,132.289317830976942490,816220,4373,107977187.00,238618,29.23,5.20,-4.70
9-December-2016,133.60,135.90,132.55,135.20,134.841824492929809968,750192,4541,101157258.00,158327,21.10,3.35,1.60
8-December-2016,132.50,134.30,132.30,133.05,133.263519089606046127,598598,3758,79771276.00,122757,20.51,2.00,0.55
7-December-2016,137.00,137.00,128.85,131.70,133.478661303969604229,1428883,8969,190725390.00,280667,19.64,8.15,-5.30
6-December-2016,137.20,137.20,134.05,134.30,135.122475339434401020,853184,5188,115284334.00,200414,23.49,3.15,-2.90
5-December-2016,134.00,136.35,133.20,135.65,134.869450425218858470,704108,4567,94962659.00,83850,11.91,3.15,1.65
2-December-2016,136.00,137.65,133.00,133.95,135.119561198639776643,1314490,8062,177613312.00,211490,16.09,4.65,-2.05
1-December-2016,138.40,139.45,135.65,136.30,137.338141177297639294,739694,3767,101588199.00,131658,17.80,3.80,-2.10
30-November-2016,136.80,138.60,135.60,138.20,137.304825280498235492,872198,5177,119756994.00,96500,11.06,3.00,1.40
29-November-2016,137.70,138.85,135.40,136.20,137.091098397182155986,857677,5523,117579882.00,250410,29.20,3.45,-1.50
28-November-2016,135.00,139.60,133.60,137.15,137.264352556974565114,997331,6366,136897994.00,140608,14.10,6.00,2.15
25-November-2016,139.70,141.75,138.60,140.30,140.101548132283814980,898825,5878,125926774.00,120062,13.36,3.15,0.60
24-November-2016,135.65,139.05,135.15,138.00,137.663336164396226740,1103237,6503,151875286.00,216790,19.65,3.90,2.35
23-November-2016,138.50,139.40,136.10,137.55,137.792730968634100337,1023245,5859,140995723.00,155061,15.15,3.30,-0.95
22-November-2016,138.05,139.75,133.80,137.45,136.899454359768665466,1559819,9758,213538370.00,177908,11.41,5.95,-0.60
21-November-2016,151.25,151.35,135.20,136.50,140.937967983359796078,2234588,12449,314938292.00,506310,22.66,16.15,-14.75
