Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,13.72,14.01,13.70,13.82,13.883786104390330662,3261030,2378,45275443.00,1310269,40.18,0.31,0.10
29-December-2016,13.75,13.75,13.62,13.69,13.681408866939022920,1933497,1187,26452963.00,1013783,52.43,0.13,-0.06
28-December-2016,13.87,13.87,13.61,13.66,13.727785247799718385,2205854,2074,30281490.00,1160679,52.62,0.26,-0.21
27-December-2016,13.70,13.85,13.65,13.78,13.732990139353984849,1725749,1921,23699694.00,955911,55.39,0.20,0.08
26-December-2016,13.98,13.99,13.67,13.70,13.758377804252152047,1934785,2246,26619503.00,1011724,52.29,0.32,-0.28
23-December-2016,14.05,14.20,13.91,13.97,14.056998423464407155,1928913,1853,27114727.00,902765,46.80,0.29,-0.08
22-December-2016,14.00,14.20,13.77,14.00,13.889485116872544280,18747303,2535,260390386.00,16329059,87.10,0.43,0.00
21-December-2016,14.25,14.25,14.02,14.04,14.084103881064865768,1602756,2302,22573382.00,880213,54.92,0.23,-0.21
20-December-2016,14.31,14.36,14.11,14.15,14.220541937092321036,1347721,1289,19165323.00,974725,72.32,0.25,-0.16
19-December-2016,14.45,14.45,14.25,14.30,14.324865409341244903,1745292,1267,25001073.00,787546,45.12,0.20,-0.15
16-December-2016,14.40,14.49,14.28,14.41,14.373023490843066999,1614842,1485,23210162.00,739844,45.82,0.21,0.01
15-December-2016,14.50,14.50,14.30,14.39,14.422504625066998634,2313480,1649,33366176.00,906632,39.19,0.20,-0.11
14-December-2016,14.71,14.75,14.42,14.45,14.517051196343340433,2315556,1665,33615045.00,910540,39.32,0.33,-0.26
13-December-2016,14.64,14.75,14.56,14.71,14.685287091545090009,1453404,1262,21343655.00,767328,52.80,0.19,0.07
12-December-2016,14.70,14.86,14.61,14.64,14.702905896838292144,2510447,1437,36910866.00,784876,31.26,0.25,-0.06
9-December-2016,15.14,15.15,14.70,14.78,14.914516886245536660,3727590,1957,55595204.00,1751159,46.98,0.45,-0.36
8-December-2016,14.60,15.15,14.60,14.96,14.802376181173333780,2623874,1905,38839570.00,1248610,47.59,0.55,0.36
7-December-2016,14.62,14.75,14.50,14.54,14.652769465257150293,2167079,1516,31753709.00,906393,41.83,0.25,-0.08
6-December-2016,14.65,14.83,14.54,14.61,14.655672745750705923,2162771,1429,31696864.00,1187910,54.93,0.29,-0.04
5-December-2016,14.65,14.76,14.57,14.62,14.644664302132988891,1426074,1146,20884375.00,634762,44.51,0.19,-0.03
2-December-2016,14.85,14.88,14.55,14.62,14.731724181130324724,3336581,1633,49153591.00,1532838,45.94,0.33,-0.23
1-December-2016,14.90,15.04,14.60,14.82,14.784752964260551950,3326968,2005,49188400.00,933804,28.07,0.44,-0.08
30-November-2016,14.80,14.94,14.66,14.78,14.805623649102493645,4290666,1655,63525986.00,2018713,47.05,0.28,-0.02
29-November-2016,14.90,15.10,14.76,14.82,14.941490938039315951,1548837,1553,23141934.00,738930,47.71,0.34,-0.08
28-November-2016,14.65,14.96,14.48,14.87,14.815957140207604823,1849379,2140,27400320.00,774064,41.86,0.48,0.22
25-November-2016,14.50,14.65,14.33,14.58,14.552085861189314934,1891425,1511,27524179.00,667575,35.29,0.32,0.08
