Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,111.70,114.00,111.70,113.15,113.118256878854309656,48809,833,5521189.00,27629,56.61,2.30,1.45
29-December-2016,111.55,112.50,110.60,111.60,111.486400925894407189,58754,919,6550272.00,37264,63.42,1.90,0.05
28-December-2016,110.50,112.20,110.00,111.20,111.438763876387638763,33330,703,3714254.00,14102,42.31,2.20,0.70
27-December-2016,109.90,111.50,109.15,109.85,110.203560524959359264,50442,724,5558888.00,25930,51.41,2.35,-0.05
26-December-2016,112.60,112.85,108.80,109.90,110.489019616052923566,47767,707,5277729.00,21025,44.02,4.05,-2.70
23-December-2016,111.60,114.75,111.60,113.30,113.618095610519112327,61374,1118,6973197.00,20445,33.31,3.15,1.70
22-December-2016,112.80,113.70,111.20,111.80,112.392785991401908356,28611,515,3215670.00,14700,51.38,2.50,-1.00
21-December-2016,116.15,116.70,113.20,113.75,114.623851558277787785,16653,328,1908831.00,6441,38.68,3.50,-2.40
20-December-2016,115.00,117.00,114.50,116.20,115.877656519241815048,59194,1076,6859262.00,23774,40.16,2.50,1.20
19-December-2016,116.00,116.00,113.50,113.75,114.083979598965974987,28626,321,3265768.00,15905,55.56,2.50,-2.25
16-December-2016,116.30,116.30,114.60,115.05,115.087662117199701229,14727,190,1694896.00,6384,43.35,1.70,-1.25
15-December-2016,112.90,115.50,112.40,114.85,114.440230832646331409,42455,716,4858560.00,15014,35.36,3.10,1.95
14-December-2016,115.80,117.00,112.80,113.25,114.146421558670187555,59076,584,6743314.00,33001,55.86,4.20,-2.55
13-December-2016,117.00,119.00,115.45,115.75,116.483001731189000677,39857,524,4642663.00,13338,33.46,3.55,-1.25
12-December-2016,117.40,118.30,115.05,116.10,117.067319004849493529,34849,493,4079679.00,15398,44.18,3.25,-1.30
9-December-2016,117.80,119.90,117.30,117.55,118.398030283934390810,55541,899,6575945.00,23348,42.04,2.60,-0.25
8-December-2016,118.05,120.10,117.25,117.85,118.481194534441470629,35495,471,4205490.00,21723,61.20,2.85,-0.20
7-December-2016,120.50,120.70,117.00,117.40,118.696788860471724921,49266,940,5847716.00,18928,38.42,3.70,-3.10
6-December-2016,117.50,120.80,116.80,119.75,119.360003258224471302,98213,1337,11722704.00,24025,24.46,4.00,2.25
5-December-2016,113.85,118.80,113.25,117.95,115.990612204134624987,50065,683,5807070.00,23149,46.24,5.55,4.10
2-December-2016,115.40,115.40,113.30,113.85,114.253150756617679124,22931,310,2619939.00,10338,45.08,2.10,-1.55
1-December-2016,117.00,117.00,115.00,115.35,115.937930075762841454,28774,461,3335998.00,13126,45.62,2.00,-1.65
30-November-2016,116.75,118.30,115.65,116.50,116.672868172055494282,34454,436,4019847.00,10660,30.94,2.65,-0.25
29-November-2016,117.00,117.90,116.25,116.50,116.990943048661924985,39086,552,4572708.00,13686,35.02,1.65,-0.50
28-November-2016,115.65,117.65,114.90,116.35,116.583681057632720512,48410,455,5643816.00,28060,57.96,2.75,0.70
25-November-2016,113.80,116.85,113.05,116.10,115.374618522920749140,62258,1198,7182993.00,19790,31.79,3.80,2.30
24-November-2016,111.00,114.50,110.00,113.15,113.167685468185607113,50386,1262,5702067.00,13366,26.53,4.50,2.15
23-November-2016,109.15,113.00,107.30,111.65,110.990138123936676374,69358,921,7698054.00,17260,24.89,5.70,2.50
22-November-2016,109.00,110.50,107.35,108.40,108.565839474453453130,64999,889,7056671.00,18178,27.97,3.15,-0.60
21-November-2016,111.55,113.80,107.55,108.70,109.811710154406783620,85618,1199,9401859.00,28417,33.19,6.25,-2.85
18-November-2016,114.00,114.45,112.30,113.25,113.438657619658903355,54530,671,6185810.00,22790,41.79,2.15,-0.75
17-November-2016,113.85,115.30,111.85,112.70,113.507558562802449573,46702,611,5301030.00,11896,25.47,3.45,-1.15
16-November-2016,117.00,117.55,112.70,113.50,115.014582424071269030,77902,1161,8959866.00,19456,24.97,4.85,-3.50
15-November-2016,118.00,119.00,111.30,112.55,113.940710483970788463,88869,1200,10125797.00,35175,39.58,7.70,-5.45
11-November-2016,122.20,122.20,115.95,116.65,118.200904509860788863,110336,1460,13041815.00,42437,38.46,6.25,-5.55
10-November-2016,121.50,124.05,121.50,122.75,123.302184005372419632,68498,1104,8445953.00,27875,40.69,2.55,1.25
9-November-2016,116.00,121.90,110.50,119.70,117.135661366100469822,132816,1932,15557490.00,33702,25.37,11.40,3.70
8-November-2016,123.70,125.05,122.95,123.55,123.774328968143401133,53835,843,6663391.00,16586,30.81,2.10,-0.15
7-November-2016,124.00,124.00,121.00,122.50,122.772759866911427260,69728,1096,8560699.00,24469,35.09,3.00,-1.50
4-November-2016,123.00,125.00,119.05,120.00,121.820575254907928777,131420,2100,16009660.00,36732,27.95,5.95,-3.00
3-November-2016,126.00,128.00,115.00,123.65,125.217438789669218029,111705,1620,13987414.00,43482,38.93,13.00,-2.35
2-November-2016,127.05,128.00,125.20,125.85,126.751250103599745835,72394,1066,9176030.00,37145,51.31,2.80,-1.20
1-November-2016,129.75,131.70,127.15,129.40,129.725793779174562092,129822,1744,16841262.00,25595,19.72,4.55,-0.35
30-October-2016,130.50,130.50,128.20,129.05,129.525069380203515263,27025,448,3500415.00,16247,60.12,2.30,-1.45
28-October-2016,127.00,130.00,127.00,128.85,128.465074946681218772,199742,1796,25659871.00,51547,25.81,3.00,1.85
27-October-2016,129.00,129.00,124.60,126.30,126.478391036281716860,269888,2934,34135000.00,68582,25.41,4.40,-2.70
26-October-2016,130.80,132.80,130.00,130.65,131.428746567281286779,183528,2117,24120855.00,38264,20.85,2.80,-0.15
25-October-2016,133.25,133.25,129.50,131.20,131.297625304370886472,207395,2696,27230471.00,65592,31.63,3.75,-2.05
24-October-2016,138.70,138.70,134.00,134.75,136.013591903714455301,200487,1852,27268957.00,64131,31.99,4.70,-3.95
21-October-2016,142.00,142.00,137.00,137.30,138.543968624504726895,223614,3531,30980371.00,85323,38.16,5.00,-4.70
20-October-2016,149.00,150.05,140.20,141.65,145.302543896526740431,670782,9378,97466331.00,199233,29.70,9.85,-7.35
19-October-2016,145.00,147.50,144.15,146.65,146.275477396892862878,292681,3548,42812053.00,83498,28.53,3.35,1.65
18-October-2016,142.95,144.75,142.30,143.75,143.684028818722498912,310215,3346,44572941.00,88811,28.63,2.45,0.80
17-October-2016,138.30,143.25,136.75,141.85,140.271948935455423508,595325,7560,83507398.00,113400,19.05,6.50,3.55
14-October-2016,129.55,138.50,128.00,136.85,135.213184430027803521,539500,5990,72947513.00,125584,23.28,10.50,7.30
13-October-2016,131.50,131.50,127.35,129.35,129.178728862973760932,85750,983,11077076.00,25166,29.35,4.15,-2.15
10-October-2016,132.35,133.00,131.05,131.60,131.783981730690808253,61305,848,8079017.00,19537,31.87,1.95,-0.75
7-October-2016,132.25,134.00,130.50,131.25,132.065489854445793934,157261,1935,20768751.00,37646,23.94,3.50,-1.00
6-October-2016,133.50,135.95,129.65,131.45,133.427696058699727432,434755,4562,58008358.00,140103,32.23,6.30,-2.05
5-October-2016,125.60,134.20,125.00,132.10,130.990447087271325806,511153,4632,66956160.00,118939,23.27,9.20,6.50
4-October-2016,126.40,126.50,124.80,125.65,125.674638869781469919,56697,612,7125375.00,21132,37.27,1.70,-0.75
3-October-2016,124.25,126.65,124.10,125.10,125.642508352608583911,93384,1180,11733000.00,30663,32.84,2.55,0.85
30-September-2016,125.00,125.00,121.30,123.15,123.395814175892889984,108748,1357,13419048.00,21877,20.12,3.70,-1.85
29-September-2016,130.00,131.40,118.35,121.15,125.903723973741301101,283944,3264,35749607.00,58939,20.76,13.05,-8.85
28-September-2016,126.85,131.00,126.45,128.95,129.006870749245469338,287596,2889,37101860.00,103443,35.97,4.55,2.10
27-September-2016,125.50,126.90,124.70,125.85,125.817117398780678443,63970,669,8048521.00,15095,23.60,2.20,0.35
26-September-2016,126.95,127.95,124.00,125.70,126.266572205849013829,88220,954,11139237.00,32639,37.00,3.95,-1.25
23-September-2016,127.60,131.15,127.25,127.65,129.085439280382716662,261917,2975,33809671.00,54618,20.85,3.90,0.05
22-September-2016,126.80,128.65,126.55,127.50,127.631451249523413399,144255,1576,18411475.00,55730,38.63,2.10,0.70
21-September-2016,124.90,128.00,124.60,125.90,126.639882944531418550,180769,2385,22892565.00,37988,21.01,3.40,1.00
20-September-2016,124.00,125.75,124.00,124.20,124.535202984012010338,64611,670,8046344.00,24516,37.94,1.75,0.20
19-September-2016,124.70,125.80,123.60,124.15,124.230766166511751427,75310,829,9355819.00,31506,41.84,2.20,-0.55
