Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,494.00,504.00,492.35,501.60,500.390881147540983606,29280,1548,14651445.00,9126,31.17,11.65,7.60
29-December-2016,485.00,497.70,484.50,492.70,494.049980763177223601,28591,1215,14125383.00,7566,26.46,13.20,7.70
28-December-2016,488.00,493.95,486.90,488.55,489.955437448896156991,22014,832,10785879.00,6826,31.01,7.05,0.55
27-December-2016,475.40,488.75,474.10,486.10,483.313723880290652325,24359,828,11773039.00,9844,40.41,14.65,10.70
26-December-2016,483.50,485.05,473.30,475.50,477.936556821681552202,25976,1117,12414880.00,5499,21.17,11.75,-8.00
23-December-2016,487.20,491.00,482.60,485.30,486.638500056902241948,35148,1066,17104370.00,9817,27.93,8.40,-1.90
22-December-2016,489.00,491.25,484.25,487.15,487.086066615814899567,23598,981,11494257.00,4286,18.16,7.00,-1.85
21-December-2016,487.00,491.90,485.85,488.10,488.133162932892296897,19953,902,9739721.00,6252,31.33,6.05,1.10
20-December-2016,488.00,491.55,484.50,487.05,488.077929509689166341,38445,1482,18764156.00,6223,16.19,7.05,-0.95
19-December-2016,477.00,492.00,477.00,488.10,487.542581152420532404,44515,1819,21702958.00,8965,20.14,15.00,11.10
16-December-2016,479.00,485.95,473.80,477.30,478.605036078256341590,26886,959,12867775.00,7545,28.06,12.15,-1.70
15-December-2016,472.00,481.50,468.00,478.95,476.073295646712083876,20697,981,9853289.00,4436,21.43,13.50,6.95
14-December-2016,486.00,491.75,475.00,476.50,481.617290668988535771,27564,1268,13275299.00,6849,24.85,16.75,-9.50
13-December-2016,490.20,493.90,481.50,485.40,486.196187450357426528,27698,1303,13466662.00,5660,20.43,12.40,-4.80
12-December-2016,501.70,503.85,485.20,486.70,490.608732618900008856,56455,1451,27697316.00,17009,30.13,18.65,-15.00
9-December-2016,503.75,512.75,500.15,503.60,506.091975903334764895,86153,2413,43601342.00,25759,29.90,12.60,-0.15
8-December-2016,497.00,507.40,497.00,499.80,503.024910102345022589,65074,2217,32733843.00,14295,21.97,10.40,2.80
7-December-2016,496.50,500.00,485.00,491.90,492.066327951002227171,71840,1819,35350045.00,10306,14.35,15.00,-4.60
6-December-2016,477.00,502.95,477.00,494.45,497.504484905809095924,253740,6165,126236788.00,44549,17.56,25.95,17.45
5-December-2016,470.40,478.90,469.10,475.25,473.424944052332587364,34854,1414,16500753.00,11197,32.13,9.80,4.85
2-December-2016,474.75,479.95,468.60,471.20,474.538092472412312820,39601,1356,18792183.00,6889,17.40,11.35,-3.55
1-December-2016,480.30,480.75,472.00,476.10,475.543880401681222157,39733,1353,18894785.00,10388,26.14,8.75,-4.20
30-November-2016,471.00,482.00,469.00,478.10,476.264983892564065172,75431,2018,35925144.00,16095,21.34,13.00,7.10
29-November-2016,476.75,482.35,467.10,470.25,472.277304572807349050,34399,1648,16245867.00,8609,25.03,15.25,-6.50
28-November-2016,470.00,481.00,467.00,477.00,475.880842272546682558,62925,1833,29944802.00,13607,21.62,14.00,7.00
25-November-2016,458.20,466.60,457.00,465.05,462.909637429520929016,26781,1059,12397183.00,6089,22.74,9.60,6.85
24-November-2016,459.70,463.75,455.85,459.25,458.417501578326150805,36431,1546,16700608.00,6536,17.94,7.90,-0.45
23-November-2016,460.00,465.00,453.90,459.55,458.980268983838831082,36136,1367,16585711.00,8407,23.26,11.10,-0.45
22-November-2016,451.00,460.00,446.90,456.05,454.726084664055438385,53104,1130,24147774.00,25293,47.63,13.10,5.05
21-November-2016,465.00,468.05,445.50,448.90,451.438967268094354823,53373,1627,24094652.00,8643,16.19,22.55,-16.10
18-November-2016,465.00,474.60,459.05,464.10,467.255024465761756005,36173,1226,16902016.00,5454,15.08,15.55,-0.90
17-November-2016,470.00,472.95,454.00,466.45,463.834870419824631585,92491,2941,42900551.00,27941,30.21,18.95,-3.55
