Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,1309.05,1333.00,1309.05,1328.40,1323.170703879234684921,11394,1325,15076207.00,3105,27.25,23.95,19.35
29-December-2016,1295.30,1315.00,1295.30,1308.85,1305.500759548611111111,9216,1027,12031495.00,2343,25.42,19.70,13.55
28-December-2016,1289.65,1305.90,1284.65,1296.30,1295.908934285011075559,12189,907,15795834.00,1855,15.22,21.25,6.65
27-December-2016,1286.80,1300.00,1280.00,1294.90,1292.216558162387913032,8141,454,10519935.00,3425,42.07,20.00,8.10
26-December-2016,1294.95,1296.00,1279.95,1286.75,1287.159911951314256118,7723,673,9940736.00,2017,26.12,16.05,-8.20
23-December-2016,1295.00,1305.00,1285.50,1296.15,1295.151351351351351351,5365,486,6948487.00,948,17.67,19.50,1.15
22-December-2016,1300.00,1300.00,1286.00,1289.40,1289.880367695338148391,7615,770,9822439.00,2103,27.62,14.00,-10.60
21-December-2016,1299.85,1312.50,1295.00,1300.70,1305.072257806244995996,9992,656,13040282.00,2184,21.86,17.50,0.85
20-December-2016,1278.00,1298.85,1273.50,1293.85,1288.222558844092286180,8582,738,11055526.00,1502,17.50,25.35,15.85
19-December-2016,1298.00,1302.85,1270.10,1278.70,1282.527690421619316667,18761,1309,24061502.00,5403,28.80,32.75,-19.30
16-December-2016,1315.05,1316.90,1284.00,1296.40,1296.336873528905218439,17419,1168,22580892.00,3685,21.16,32.90,-18.65
15-December-2016,1313.00,1329.80,1305.00,1315.05,1316.738641280830809173,9244,865,12171932.00,1985,21.47,24.80,2.05
14-December-2016,1345.00,1345.00,1309.00,1313.10,1321.428335346087840844,15733,1981,20790032.00,5039,32.03,36.00,-31.90
13-December-2016,1346.15,1346.15,1327.75,1336.75,1336.246055538024613442,12676,1074,16938255.00,4658,36.75,18.40,-9.40
12-December-2016,1380.00,1380.00,1342.00,1346.15,1357.360767139836907278,13244,1224,17976886.00,4251,32.10,38.00,-33.85
9-December-2016,1359.05,1387.85,1355.00,1380.80,1371.667772630524602479,15974,1382,21911021.00,5248,32.85,32.85,21.75
8-December-2016,1355.00,1370.95,1352.10,1358.75,1362.257343322630514924,8409,618,11455222.00,2249,26.75,18.85,3.75
7-December-2016,1348.00,1359.30,1346.00,1350.00,1350.380302035456336178,7615,760,10283146.00,2146,28.18,13.30,2.00
6-December-2016,1345.00,1355.45,1340.00,1348.15,1346.947963552530464375,9109,824,12269349.00,2547,27.96,15.45,3.15
5-December-2016,1329.20,1350.00,1319.00,1342.15,1332.384890212132489765,13435,917,17900591.00,4118,30.65,31.00,12.95
2-December-2016,1336.40,1336.40,1318.20,1322.90,1325.042135602525391161,14572,1296,19308514.00,2209,15.16,18.20,-13.50
1-December-2016,1350.00,1354.00,1327.00,1336.40,1335.503289278729330883,16873,1841,22533947.00,3944,23.37,27.00,-13.60
30-November-2016,1328.00,1354.05,1323.55,1342.60,1344.160307079897640034,52755,2369,70911177.00,6747,12.79,30.50,14.60
29-November-2016,1320.10,1338.15,1310.00,1322.55,1326.642089570780793838,16099,1106,21357611.00,3336,20.72,28.15,2.45
28-November-2016,1313.35,1326.50,1309.00,1314.85,1317.896710728558253919,13012,1093,17148472.00,2324,17.86,17.50,1.50
25-November-2016,1323.85,1328.00,1301.10,1313.35,1313.998336002009356064,31851,2175,41852161.00,5811,18.24,26.90,-10.50
24-November-2016,1302.85,1330.00,1283.00,1323.85,1314.497064374082616900,19076,1157,25075346.00,2499,13.10,47.00,21.00
23-November-2016,1300.00,1313.55,1277.00,1302.85,1294.754627659574468085,18800,1674,24341387.00,3687,19.61,36.55,2.85
22-November-2016,1290.00,1295.95,1257.00,1292.10,1284.053776274782839334,15081,1007,19364815.00,4641,30.77,38.95,2.10
21-November-2016,1310.15,1316.10,1267.00,1272.90,1289.328788018859203106,21634,1378,27893339.00,5101,23.58,49.10,-37.25
18-November-2016,1305.70,1318.35,1291.25,1311.55,1305.978701594533029612,17560,1048,22932986.00,2697,15.36,27.10,5.85
17-November-2016,1332.00,1335.00,1295.00,1303.05,1314.186370839936608557,22085,1786,29023806.00,5043,22.83,40.00,-28.95
16-November-2016,1356.45,1370.00,1307.25,1333.85,1332.503461819280445127,39719,3041,52925705.00,7746,19.50,62.75,-22.60
15-November-2016,1395.00,1538.00,1341.50,1346.55,1524.459684379395728949,8602100,17644,13113554651.00,7874581,91.54,196.50,-48.45
11-November-2016,1455.00,1455.00,1393.00,1398.40,1407.256714715337550554,38572,2569,54280706.00,11685,30.29,62.00,-56.60
10-November-2016,1455.00,1496.15,1451.15,1458.65,1476.350264669444757292,17758,1527,26217028.00,2821,15.89,45.00,3.65
9-November-2016,1475.00,1475.00,1361.50,1454.10,1427.690808047126820051,44985,3257,64224671.00,7606,16.91,113.50,-20.90
8-November-2016,1495.00,1508.60,1490.00,1503.75,1499.058786567059973469,14323,1137,21471019.00,3979,27.78,18.60,8.75
7-November-2016,1499.00,1512.50,1481.10,1486.45,1496.005297496235989516,17933,1396,26827863.00,4190,23.36,31.40,-12.55
4-November-2016,1515.00,1527.00,1477.00,1491.15,1499.563169882100750267,14928,1202,22385479.00,2736,18.33,50.00,-23.85
3-November-2016,1490.00,1520.90,1484.40,1508.90,1509.003565062388591800,10659,984,16084469.00,2189,20.54,36.50,18.90
2-November-2016,1494.40,1512.85,1485.55,1490.80,1499.199623995898137070,11702,1011,17543634.00,2593,22.16,27.30,-3.60
1-November-2016,1515.00,1529.25,1501.00,1506.75,1515.810523674083988623,11954,1323,18119999.00,3389,28.35,28.25,-8.25
30-October-2016,1523.70,1526.95,1512.00,1515.90,1519.202286440139726897,6298,380,9567936.00,2479,39.36,14.95,-7.80
28-October-2016,1530.10,1531.05,1510.20,1519.20,1519.118449829411250109,11431,1196,17365043.00,2832,24.77,20.85,-10.90
27-October-2016,1540.00,1545.95,1516.00,1527.75,1526.621682750301568154,13264,1079,20249110.00,4488,33.84,29.95,-12.25
26-October-2016,1551.00,1551.55,1537.05,1543.65,1543.350107321726687336,8386,867,12942534.00,2216,26.42,14.50,-7.35
25-October-2016,1569.90,1569.90,1549.80,1552.40,1553.811202185792349726,10980,1579,17060847.00,3675,33.47,20.10,-17.50
24-October-2016,1554.65,1584.95,1552.00,1567.35,1565.159149968239302419,34634,2259,54207722.00,8846,25.54,32.95,12.70
21-October-2016,1618.75,1618.75,1542.00,1562.05,1564.119148482983859516,84508,6426,132180581.00,10788,12.77,76.75,-56.70
20-October-2016,1613.40,1626.85,1607.50,1612.10,1613.429827417779225008,6142,729,9909686.00,1795,29.23,19.35,-1.30
19-October-2016,1620.00,1626.55,1605.55,1608.70,1616.254049620668443715,19508,1296,31529884.00,4162,21.33,21.00,-11.30
18-October-2016,1606.00,1623.00,1591.25,1620.10,1609.513048532403371113,17205,1574,27691672.00,3397,19.74,31.75,14.10
17-October-2016,1645.00,1645.00,1599.75,1605.40,1611.898671307891497219,23557,1429,37971497.00,12814,54.40,45.25,-39.60
14-October-2016,1645.00,1650.90,1633.10,1640.45,1640.794048704258366974,15358,1014,25199315.00,5260,34.25,17.80,-4.55
13-October-2016,1671.00,1671.00,1622.35,1632.85,1642.840852819807427785,21810,1438,35830359.00,4636,21.26,48.65,-38.15
10-October-2016,1626.05,1675.00,1619.80,1670.40,1667.222854018589393110,18290,1921,30493506.00,4543,24.84,55.20,44.35
7-October-2016,1630.00,1630.00,1610.00,1626.05,1619.887884794776119402,17152,1253,27784317.00,1673,9.75,20.00,-3.95
6-October-2016,1640.00,1713.00,1619.10,1629.35,1632.978285000693769945,14414,1313,23537749.00,2251,15.62,93.90,-10.65
5-October-2016,1640.00,1647.50,1620.90,1638.55,1630.342173542384817821,215832,1134,351880012.00,204383,94.70,26.60,-1.45
5-October-2016,1640.00,1647.50,1620.90,1638.55,1630.342173542384817821,215832,1134,351880012.00,204383,94.70,26.60,-1.45
4-October-2016,1631.00,1641.55,1623.00,1636.25,1633.855856580110941394,12439,1088,20323533.00,2935,23.60,18.55,5.25
3-October-2016,1608.00,1642.25,1606.55,1633.90,1624.345944830432689000,14537,1045,23613117.00,3429,23.59,35.70,25.90
30-September-2016,1588.00,1607.45,1582.00,1594.95,1595.567724756499194169,14271,1211,22770347.00,2737,19.18,25.45,6.95
29-September-2016,1622.45,1627.20,1575.10,1587.05,1608.758190801976434815,13155,1161,21163214.00,3138,23.85,52.10,-35.40
28-September-2016,1606.50,1622.25,1605.00,1616.70,1613.232398867683316592,10951,768,17666508.00,2644,24.14,17.25,10.20
27-September-2016,1619.00,1622.70,1604.00,1606.60,1612.322943841823424413,7283,525,11742548.00,1166,16.01,18.70,-12.40
26-September-2016,1616.00,1618.45,1595.00,1606.40,1603.171953750370589979,16865,1283,27037495.00,3058,18.13,23.45,-9.60
23-September-2016,1665.85,1665.85,1608.15,1616.45,1632.840258271622952613,27413,2162,44761050.00,10503,38.31,57.70,-49.40
22-September-2016,1642.45,1670.00,1638.60,1665.85,1656.718817445127662173,24557,1243,40684044.00,11044,44.97,31.40,23.40
21-September-2016,1635.40,1646.00,1625.00,1630.95,1635.653781512605042016,8330,805,13624996.00,2763,33.17,21.00,-4.45
20-September-2016,1650.00,1655.00,1626.80,1635.40,1640.442195499464221931,16798,1259,27556148.00,3058,18.20,28.20,-14.60
19-September-2016,1630.00,1653.00,1630.00,1648.20,1643.712797881729920564,11330,1101,18623266.00,2964,26.16,23.00,18.20
16-September-2016,1626.75,1640.00,1613.50,1627.30,1627.726068019646001297,10791,744,17564792.00,1299,12.04,26.50,0.55
15-September-2016,1619.20,1624.75,1593.80,1605.95,1606.636631372274034078,14261,997,22912245.00,2628,18.43,30.95,-13.25
14-September-2016,1590.00,1622.65,1585.00,1619.20,1606.949691085613415710,18128,1166,29130784.00,2810,15.50,37.65,29.20
12-September-2016,1635.00,1641.90,1572.10,1582.55,1596.476515180374080987,26251,1877,41909105.00,7212,27.47,69.80,-52.45
