Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,265.00,270.90,264.80,268.10,268.015430874397051806,173937,2564,46617800.00,23237,13.36,6.10,3.10
29-December-2016,267.90,267.90,262.50,264.80,264.600601536126152661,176548,2858,46714707.00,30077,17.04,5.40,-3.10
28-December-2016,268.95,271.90,266.90,268.05,269.072611426500785118,165580,2338,44553043.00,29996,18.12,5.00,-0.90
27-December-2016,261.00,267.60,258.45,266.80,264.187258266431654407,160559,2300,42417642.00,22324,13.90,9.15,5.80
26-December-2016,262.95,262.95,257.25,259.35,259.084385207557080248,121846,2042,31568396.00,26342,21.62,5.70,-3.60
23-December-2016,263.50,268.05,259.30,262.95,263.434357505773672055,270625,3939,71291923.00,40549,14.98,8.75,-0.55
22-December-2016,272.90,272.95,261.55,263.90,265.547102688650201819,204638,3388,54341028.00,38190,18.66,11.40,-9.00
21-December-2016,274.00,275.45,270.60,273.75,273.134836588602192341,118321,1580,32317587.00,20085,16.98,4.85,-0.25
20-December-2016,276.50,277.45,269.10,272.25,272.242798041110616442,184186,2731,50143312.00,32117,17.44,8.35,-4.25
19-December-2016,281.00,281.00,275.55,276.40,276.970595050897955805,120830,2214,33466357.00,25862,21.40,5.45,-4.60
16-December-2016,285.00,286.25,279.15,280.10,280.982095958226484966,129077,2095,36268326.00,41848,32.42,7.10,-4.90
15-December-2016,287.50,291.90,283.25,284.55,287.575120675784392598,427592,5811,122964821.00,58905,13.78,8.65,-2.95
14-December-2016,287.70,288.30,282.15,283.70,284.406350330212288047,81917,1538,23297715.00,20281,24.76,6.15,-4.00
13-December-2016,282.00,288.00,278.85,286.10,284.233746803406184914,151724,2004,43125081.00,37322,24.60,9.15,4.10
12-December-2016,285.00,285.40,279.35,281.40,281.636033635068694573,65289,1677,18387735.00,25922,39.70,6.05,-3.60
9-December-2016,290.00,291.50,284.55,285.75,287.903559398822069454,203068,3269,58464000.00,37137,18.29,6.95,-4.25
8-December-2016,281.00,288.15,280.00,286.25,285.060098271045372756,396251,5214,112955349.00,73004,18.42,8.15,5.25
7-December-2016,275.00,279.80,271.90,277.10,276.872072092175633558,268878,3209,74444809.00,46026,17.12,7.90,2.10
6-December-2016,273.90,275.00,270.55,272.05,272.530803417605456955,171231,2395,46665722.00,25820,15.08,4.45,-1.85
5-December-2016,266.70,273.00,264.15,269.25,268.229190883910008170,301094,4148,80762200.00,21222,7.05,8.85,2.55
2-December-2016,275.80,275.80,264.80,266.40,269.397894048048288663,149766,2364,40346645.00,33842,22.60,11.00,-9.40
1-December-2016,278.00,279.60,272.00,275.00,275.315881040989450138,152893,2279,42093871.00,24937,16.31,7.60,-3.00
30-November-2016,277.50,281.90,276.15,277.75,279.282935343043167362,212568,2591,59366615.00,32365,15.23,5.75,0.25
29-November-2016,275.00,279.40,268.00,276.30,275.144783338616325620,340716,4614,93746230.00,61722,18.12,11.40,1.30
28-November-2016,265.30,274.20,264.20,272.20,269.295963613768266032,236573,3511,63708154.00,36310,15.35,10.00,6.90
25-November-2016,262.00,266.00,255.95,265.30,262.888439848078788576,304105,3803,79945689.00,44279,14.56,10.05,3.30
24-November-2016,262.95,262.95,255.95,258.05,259.702322937366689826,205817,2784,53451153.00,36806,17.88,7.00,-4.90
23-November-2016,264.95,264.95,258.60,263.50,261.773800635148184650,200898,2306,52589833.00,33524,16.69,6.35,-1.45
22-November-2016,257.00,262.90,257.00,260.50,259.999923846409086211,183839,2670,47798126.00,18850,10.25,5.90,3.50
21-November-2016,264.50,265.15,246.00,255.15,252.711653724366706875,424448,5282,107262956.00,60152,14.17,19.15,-9.35
18-November-2016,265.30,266.00,257.10,260.80,262.399367108607232657,221523,2539,58127495.00,48568,21.92,8.90,-4.50
17-November-2016,264.35,269.20,262.15,264.10,265.076304106548279689,122536,1815,32481390.00,16131,13.16,7.05,-0.25
16-November-2016,272.00,272.95,261.30,264.35,265.736932634180555091,179646,2146,47738577.00,30706,17.09,11.65,-7.65
15-November-2016,280.00,280.50,258.15,266.90,266.805852791567077281,326340,3907,87069422.00,68982,21.14,22.35,-13.10
11-November-2016,288.00,292.75,273.05,276.50,280.943076114105429209,380350,6224,106856699.00,119617,31.45,19.70,-11.50
10-November-2016,286.30,296.90,286.25,293.70,293.122866217608095121,232041,3686,68016523.00,33220,14.32,10.65,7.40
9-November-2016,266.25,283.50,261.85,282.25,273.866229630935513288,459459,5738,125830304.00,70333,15.31,21.65,16.00
8-November-2016,298.80,298.80,286.95,290.90,289.999818516676300966,297548,3542,86288866.00,96277,32.36,11.85,-7.90
7-November-2016,292.40,297.70,290.80,293.65,292.561641206451658764,281354,5280,82313388.00,117146,41.64,6.90,1.25
4-November-2016,288.10,292.05,284.65,288.55,288.594558466384125062,293998,4457,84846223.00,43325,14.74,7.40,0.45
3-November-2016,300.00,302.15,287.15,288.10,294.716190077128087194,410486,6036,120976870.00,73105,17.81,15.00,-11.90
2-November-2016,302.00,303.90,297.55,299.85,300.813512559370355317,337079,4180,101397918.00,58583,17.38,6.35,-2.15
