Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,204.20,207.65,204.20,206.20,206.515725356045797263,57296,1206,11832525.00,17809,31.08,3.45,2.00
29-December-2016,202.15,204.75,201.00,203.90,203.574604770683202055,35802,784,7288378.00,8187,22.87,3.75,1.75
28-December-2016,202.90,204.70,201.10,201.35,202.795571493126922348,68601,1063,13911979.00,14848,21.64,3.60,-1.55
27-December-2016,198.80,203.90,198.00,202.70,201.421483337128975935,65865,1656,13266626.00,18836,28.60,5.90,3.90
26-December-2016,199.55,200.00,197.00,198.10,198.161750245821042281,38646,686,7658159.00,8366,21.65,3.00,-1.45
23-December-2016,198.25,202.05,198.25,200.15,200.169776724460521392,80170,1078,16047611.00,17844,22.26,3.80,1.90
22-December-2016,202.00,202.80,198.40,200.30,200.099191190030824353,37957,885,7595165.00,12184,32.10,4.40,-1.70
21-December-2016,205.60,205.95,201.75,202.35,203.716383385296188273,29829,629,6076656.00,6869,23.03,4.20,-3.25
20-December-2016,200.65,205.35,200.65,204.55,203.983528425326287221,90641,1531,18489271.00,28254,31.17,4.70,3.90
19-December-2016,200.00,204.00,200.00,201.00,202.370332842053549496,32568,805,6590797.00,10141,31.14,4.00,1.00
16-December-2016,201.35,203.50,200.10,202.45,201.861837179779304059,61442,1099,12402795.00,17047,27.74,3.40,1.10
15-December-2016,205.15,206.35,201.35,201.95,203.246823973661989202,105399,1484,21422012.00,40449,38.38,5.00,-3.20
14-December-2016,206.95,207.00,204.30,205.15,205.551757542208690838,50582,720,10397219.00,9701,19.18,2.70,-1.80
13-December-2016,209.05,209.50,206.00,206.60,207.086463948209411732,72909,862,15098467.00,12988,17.81,3.50,-2.45
12-December-2016,215.90,215.90,208.00,209.05,210.689859977966886465,62633,1629,13196138.00,17476,27.90,7.90,-6.85
