Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,656.00,672.50,653.60,669.05,665.227552725369131367,139449,4021,92765317.00,32573,23.36,18.90,13.05
29-December-2016,655.00,656.10,645.60,648.05,649.377800610498174490,100246,2926,65097527.00,30167,30.09,10.50,-6.95
28-December-2016,646.50,660.00,641.75,651.80,652.235191596783143547,127951,3780,83454145.00,25868,20.22,18.25,5.30
27-December-2016,625.00,648.50,623.55,645.40,636.941221460709740255,167357,5004,106596572.00,47583,28.43,24.95,20.40
26-December-2016,650.00,650.00,622.00,624.55,629.239101759804394685,186498,5505,117351834.00,43790,23.48,28.00,-25.45
23-December-2016,663.00,666.95,645.60,647.85,654.778908282484272267,211410,6011,138426809.00,43762,20.70,21.35,-15.15
22-December-2016,667.00,671.00,656.10,658.30,661.042403765058672858,192082,4495,126974347.00,54641,28.45,14.90,-8.70
21-December-2016,683.90,688.95,665.35,666.45,673.556621697642575865,188426,6254,126915580.00,42028,22.30,23.60,-17.45
20-December-2016,685.10,695.15,670.30,673.45,682.365684352107849326,388097,8715,264824075.00,90967,23.44,24.85,-11.65
19-December-2016,691.90,711.65,690.10,699.55,704.605537750830085173,173175,4276,122020064.00,30343,17.52,21.55,7.65
16-December-2016,685.00,698.70,665.35,691.05,680.927848262914163965,446351,10531,303932826.00,90251,20.22,33.35,6.05
15-December-2016,695.00,708.05,690.10,694.85,697.721101770940625311,120388,3730,83997248.00,32945,27.37,17.95,-0.15
14-December-2016,722.00,722.00,696.00,703.55,703.316082632832556372,323697,7605,227661306.00,121291,37.47,26.00,-18.45
13-December-2016,714.00,721.45,714.00,718.20,718.230637030247479376,43640,1152,31343585.00,13208,30.27,7.45,4.20
12-December-2016,723.50,724.00,713.60,715.40,716.358284004837375087,62844,1967,45018820.00,15809,25.16,10.40,-8.10
9-December-2016,724.00,727.50,721.05,723.10,723.804189243523712879,52229,1808,37803569.00,12193,23.35,6.45,-0.90
8-December-2016,722.85,727.00,716.70,722.25,720.877447459822216989,84935,2599,61227726.00,18329,21.58,10.30,-0.60
7-December-2016,732.00,733.00,719.05,722.80,724.099260604488260474,77090,1799,55820812.00,24720,32.07,13.95,-9.20
6-December-2016,733.00,735.00,727.10,730.75,731.890510699391536200,58508,2612,42821450.00,18900,32.30,7.90,-2.25
