Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,446.00,451.80,443.45,450.00,449.864914522062750761,234037,6054,105285035.00,71632,30.61,8.35,4.00
29-December-2016,447.00,447.00,437.80,444.15,442.153957941847824056,267677,5210,118354445.00,64173,23.97,9.20,-2.85
28-December-2016,437.45,447.85,436.00,439.50,442.520495801297237894,251149,4451,111138580.00,57252,22.80,11.85,2.05
27-December-2016,430.00,438.55,430.00,437.45,435.117847640818184836,210857,5973,91747644.00,73166,34.70,8.55,7.45
26-December-2016,432.15,436.00,427.00,431.75,430.757700397981453866,405044,7510,174475822.00,110968,27.40,9.00,-0.40
23-December-2016,447.00,448.95,436.00,438.45,441.785241633081332517,413623,7221,182732537.00,128744,31.13,12.95,-8.55
22-December-2016,456.50,456.50,445.70,448.45,449.336248640016436539,214157,5486,96228503.00,63885,29.83,10.80,-8.05
21-December-2016,463.50,465.50,455.55,457.90,461.813182408055387583,147181,2958,67970126.00,45552,30.95,9.95,-5.60
20-December-2016,469.90,469.95,460.40,461.60,463.954859149740894466,244302,7438,113345100.00,84649,34.65,9.55,-8.30
19-December-2016,472.40,472.40,466.65,467.50,468.798858445255260249,204458,3178,95849677.00,54404,26.61,5.75,-4.90
16-December-2016,477.90,480.25,468.60,472.75,473.392988584805483154,662976,9691,313848190.00,121825,18.38,11.65,-5.15
15-December-2016,456.10,478.25,456.10,477.10,472.616709308683496507,775448,13286,366489682.00,147300,19.00,22.15,21.00
14-December-2016,453.70,469.45,453.40,466.95,464.529252572595803202,791127,11668,367501634.00,245268,31.00,16.05,13.25
13-December-2016,445.00,454.15,442.25,452.35,448.021994715036316187,487799,6723,218544681.00,116177,23.82,11.90,7.35
12-December-2016,447.00,451.25,440.00,444.60,447.685182523948409263,612358,8463,274143603.00,158957,25.96,11.25,-2.40
9-December-2016,451.05,458.00,445.60,456.30,452.124966449408811432,644549,10619,291416695.00,168122,26.08,12.40,5.25
8-December-2016,449.95,452.85,447.75,449.50,450.427882060443888982,374463,5950,168668576.00,116860,31.21,5.10,-0.45
7-December-2016,456.70,460.90,441.50,447.55,452.739971850809289232,670712,10027,303658132.00,143844,21.45,19.40,-9.15
6-December-2016,461.00,463.00,455.50,456.70,459.075231413556699655,374870,5838,172093532.00,85456,22.80,7.50,-4.30
5-December-2016,458.50,464.55,455.80,461.00,459.754828108468484136,551976,9632,253773631.00,74614,13.52,8.75,2.50
2-December-2016,465.90,466.85,458.30,459.80,462.695347281602105176,633866,11326,293286849.00,161410,25.46,8.55,-6.10
1-December-2016,474.95,475.00,464.30,465.90,467.981745321379540556,611131,8693,285998152.00,247531,40.50,10.70,-9.05
30-November-2016,465.90,470.95,462.25,469.75,466.314119193059126937,528118,9547,246268880.00,212831,40.30,8.70,3.85
29-November-2016,472.80,475.60,463.80,465.30,470.135768541099951265,966461,7398,454367885.00,198892,20.58,11.80,-7.50
28-November-2016,464.10,477.00,461.30,472.80,469.527632360084192347,518812,7272,243596570.00,69609,13.42,15.70,8.70
25-November-2016,471.25,473.60,465.65,471.35,469.425954183507761879,612094,6603,287332810.00,80587,13.17,7.95,0.10
24-November-2016,479.00,479.00,466.00,468.00,472.287246047345679265,243697,4560,115094985.00,79228,32.51,13.00,-11.00
23-November-2016,475.90,482.15,468.80,480.45,476.173950605907017463,434060,5740,206688065.00,72464,16.69,13.35,4.55
22-November-2016,469.90,475.00,458.60,471.30,465.584015045830578417,564143,7119,262655963.00,102784,18.22,16.40,1.40
21-November-2016,479.20,479.20,463.50,465.85,467.944910246421551391,645601,9915,302105702.00,193079,29.91,15.70,-13.35
18-November-2016,476.20,478.95,472.00,473.45,474.899198246231684699,551042,6082,261689404.00,99131,17.99,6.95,-2.75
17-November-2016,474.70,483.95,472.05,474.40,477.699538225777251946,392183,8732,187345638.00,119957,30.59,11.90,-0.30
16-November-2016,483.55,486.95,470.10,472.05,478.853287281286516234,716291,10203,342998300.00,242995,33.92,16.85,-11.50
15-November-2016,499.00,503.45,476.80,479.15,488.378600351068854982,514429,9937,251236115.00,119791,23.29,26.65,-19.85
11-November-2016,501.50,512.55,495.35,498.40,501.582484394455562724,486686,7332,244113173.00,116722,23.98,17.20,-3.10
10-November-2016,495.00,512.90,494.00,506.55,505.567446361207167557,1017920,22322,514627215.00,348331,34.22,18.90,11.55
9-November-2016,455.00,493.00,455.00,487.75,480.845422789430919492,839354,17510,403599529.00,182579,21.75,38.00,32.75
8-November-2016,486.00,492.00,483.20,490.80,488.202087319533831970,431175,11598,210500535.00,199027,46.16,8.80,4.80
7-November-2016,484.80,488.90,482.20,484.40,484.774173209891011367,426650,7836,206828901.00,144037,33.76,6.70,-0.40
4-November-2016,474.00,484.65,473.75,478.10,480.232506229516710685,924229,20813,443844809.00,281597,30.47,10.90,4.10
3-November-2016,474.20,479.55,473.40,475.55,476.257266567855153315,497243,9896,236815592.00,192887,38.79,6.15,1.35
2-November-2016,470.00,479.75,468.45,475.70,473.928226546913077395,724265,12223,343249627.00,204657,28.26,11.30,5.70
1-November-2016,488.10,488.90,474.00,475.45,479.425959493847387318,631114,12768,302572435.00,258692,40.99,14.90,-12.65
30-October-2016,490.00,491.00,486.10,487.80,488.770578404976325317,107710,2591,52645479.00,55661,51.68,4.90,-2.20
28-October-2016,488.90,493.80,484.75,486.60,488.134659123791886104,691160,10683,337379151.00,181240,26.22,9.05,-2.30
27-October-2016,487.00,489.60,477.50,485.25,484.164483456543256208,698131,11880,338010235.00,157676,22.59,12.10,-1.75
26-October-2016,497.00,502.80,484.50,486.50,489.661488605028416101,2698822,56317,1321509198.00,1037311,38.44,18.30,-10.50
25-October-2016,523.00,531.05,520.00,529.05,527.281694910442525251,493147,7724,260027386.00,135940,27.57,11.05,6.05
24-October-2016,529.95,529.95,517.65,521.30,521.632549816639420315,633724,9714,330571066.00,169146,26.69,12.30,-8.65
21-October-2016,540.90,540.90,524.55,526.60,527.831695106868448938,677562,10215,357638699.00,260998,38.52,16.35,-14.30
20-October-2016,536.95,544.80,536.10,538.80,540.442273074405411302,439968,7478,237777306.00,106503,24.21,8.70,1.85
19-October-2016,536.80,541.90,529.00,535.35,536.079176084735226236,1259547,10992,675216918.00,492294,39.09,12.90,-1.45
18-October-2016,523.85,534.00,518.60,532.30,526.007667759882780397,655863,11733,344988967.00,143996,21.96,15.40,8.45
17-October-2016,522.30,533.90,517.25,518.85,527.240703783239618666,1186047,9296,625332255.00,682826,57.57,16.65,-3.45
14-October-2016,521.50,524.95,517.10,520.65,519.907612328863911821,367982,5632,191316643.00,110137,29.93,7.85,-0.85
13-October-2016,529.95,529.95,513.35,518.75,521.251012996529948056,556764,8850,290213799.00,194939,35.01,16.60,-11.20
10-October-2016,537.95,538.55,530.25,531.40,533.506752840517043102,217390,3775,115979033.00,73879,33.98,8.30,-6.55
7-October-2016,531.00,539.50,530.95,533.35,534.899201825855232120,627432,8839,335612876.00,217234,34.62,8.55,2.35
6-October-2016,535.00,535.00,524.15,530.95,529.448734257293023796,584874,10802,309660799.00,186989,31.97,10.85,-4.05
5-October-2016,550.75,551.15,533.60,535.70,539.753046354516093801,705023,10067,380538312.00,300189,42.58,17.55,-15.05
4-October-2016,552.05,552.95,541.85,546.80,547.437927506278599673,440783,6136,241301332.00,109124,24.76,11.10,-5.25
