Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,2655.55,2667.00,2627.25,2633.85,2642.002120073238893707,10377,1231,27416056.00,2068,19.93,39.75,-21.70
29-December-2016,2621.00,2665.65,2611.50,2655.45,2638.251493566176470588,8704,1079,22963341.00,1523,17.50,54.15,34.45
28-December-2016,2629.35,2653.00,2624.55,2631.60,2641.307027027027027027,6475,806,17102463.00,2009,31.03,28.45,2.25
27-December-2016,2563.00,2642.00,2563.00,2633.60,2604.469498418436511522,15491,1552,40345837.00,1423,9.19,79.00,70.60
26-December-2016,2618.00,2618.35,2578.00,2596.70,2597.001249132546842470,7205,922,18711394.00,2181,30.27,40.35,-21.30
23-December-2016,2564.15,2635.00,2554.55,2621.35,2607.375603663613655287,12010,1289,31314581.00,2888,24.05,80.45,57.20
22-December-2016,2586.00,2589.00,2555.60,2566.55,2570.681185690675481153,18757,1921,48218267.00,6209,33.10,33.40,-19.45
21-December-2016,2597.50,2631.25,2580.75,2585.65,2602.643750806139558880,7753,965,20178297.00,1752,22.60,50.50,-11.85
20-December-2016,2657.95,2664.85,2572.00,2585.40,2589.327200439876496214,23643,2588,61219463.00,8169,34.55,92.85,-72.55
19-December-2016,2659.00,2659.00,2635.00,2646.30,2647.073096058170685036,5226,709,13833604.00,1210,23.15,24.00,-12.70
16-December-2016,2697.00,2697.00,2653.15,2658.90,2664.359307359307359307,8778,1032,23387746.00,2116,24.11,43.85,-38.10
15-December-2016,2649.00,2697.50,2632.50,2674.65,2675.103128245067497403,15408,1684,41217989.00,2957,19.19,65.00,25.65
14-December-2016,2665.00,2665.70,2633.00,2649.45,2647.888368129527055815,7041,877,18643782.00,1560,22.16,32.70,-15.55
13-December-2016,2656.00,2667.15,2646.00,2659.40,2658.779065385340116826,10614,1028,28220281.00,3290,31.00,21.15,3.40
12-December-2016,2725.00,2725.00,2646.05,2652.75,2663.868360406947332921,17791,1817,47392882.00,6231,35.02,78.95,-72.25
9-December-2016,2778.50,2778.50,2712.60,2719.55,2729.269309009777544458,15239,1603,41591335.00,4186,27.47,65.90,-58.95
8-December-2016,2721.00,2787.90,2721.00,2773.75,2761.837502414525787135,20708,1884,57192131.00,4992,24.11,66.90,52.75
7-December-2016,2755.00,2755.00,2685.55,2701.70,2714.051905920519059205,9864,1000,26771408.00,1668,16.91,69.45,-53.30
6-December-2016,2750.90,2752.45,2720.55,2728.05,2734.002248688265178645,12007,1236,32827165.00,2917,24.29,31.90,-22.85
5-December-2016,2700.00,2757.45,2689.55,2737.50,2727.963017553262762963,22389,1912,61076364.00,5226,23.34,67.90,37.50
2-December-2016,2666.70,2723.45,2653.55,2702.45,2685.860277702150830383,18365,1793,49325824.00,1364,7.43,69.90,35.75
1-December-2016,2680.55,2714.00,2666.70,2685.15,2681.982474993800115731,12097,1255,32443942.00,1799,14.87,47.30,4.60
30-November-2016,2687.00,2690.00,2664.90,2683.75,2681.314618951028687337,13804,1154,37012867.00,2453,17.77,25.10,-3.25
29-November-2016,2637.45,2690.00,2637.45,2661.80,2668.490092690236998390,18017,1522,48078186.00,2621,14.55,52.55,24.35
28-November-2016,2622.80,2662.00,2615.05,2637.45,2639.829185574396942918,20935,1935,55264824.00,1848,8.83,46.95,14.65
