Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,151.65,153.65,151.40,152.85,152.604174809281857529,898053,4876,137046637.00,357158,39.77,2.25,1.20
29-December-2016,150.00,152.50,148.45,151.20,150.023307337875796943,1693501,6466,254064621.00,1188812,70.20,4.05,1.20
28-December-2016,150.65,152.55,149.20,150.00,150.644495872431640032,1517116,6338,228545175.00,798571,52.64,3.35,-0.65
27-December-2016,147.50,150.80,146.25,149.85,148.057761515265223908,514339,3799,76151881.00,75080,14.60,4.55,2.35
26-December-2016,151.35,152.05,146.00,147.25,148.744961493552070226,618338,4111,91974662.00,154311,24.96,6.05,-4.10
23-December-2016,154.95,156.45,152.55,152.95,154.115718794089964050,523787,2977,80723810.00,119230,22.76,3.90,-2.00
22-December-2016,156.20,156.90,153.50,155.10,154.920155655509779671,380841,2698,58999947.00,72190,18.96,3.40,-1.10
21-December-2016,156.50,158.10,154.65,157.15,157.039560990939835795,1120068,3641,175894987.00,812416,72.53,3.45,0.65
20-December-2016,159.25,160.15,155.00,155.65,156.653532559741429555,471825,3312,73913053.00,95485,20.24,5.15,-3.60
19-December-2016,159.60,160.70,158.30,159.30,159.543280339504183965,217258,1620,34662054.00,46921,21.60,2.40,-0.30
16-December-2016,160.40,162.60,158.80,159.60,160.422815939307614128,529358,5270,84921101.00,136007,25.69,3.80,-0.80
15-December-2016,155.90,161.35,155.10,159.95,159.631320035381318852,422822,3180,67495634.00,56175,13.29,6.25,4.05
14-December-2016,161.00,161.40,158.00,158.30,158.905428437277019258,270483,2477,42981217.00,51990,19.22,3.40,-2.70
13-December-2016,158.90,161.00,156.65,160.40,158.764027589053819295,581390,3840,92303818.00,152070,26.16,4.35,1.50
12-December-2016,162.25,162.50,157.80,158.95,160.013390658924847735,605198,4248,96839784.00,205319,33.93,4.70,-3.30
9-December-2016,159.00,162.70,157.30,162.10,160.821046408659387846,808556,5895,130032822.00,155828,19.27,5.40,3.10
8-December-2016,159.10,159.80,157.40,158.50,158.600864979517272770,652501,4963,103487223.00,142547,21.85,2.40,-0.60
7-December-2016,163.00,164.50,157.00,157.85,160.263327276270057413,1103395,7725,176833754.00,230496,20.89,7.50,-5.15
6-December-2016,163.80,164.00,161.65,162.25,162.985893699185636250,449799,3016,73310892.00,77702,17.27,2.35,-1.55
5-December-2016,161.95,162.95,160.25,162.50,161.985940442842090191,544754,3814,88242489.00,113585,20.85,2.70,0.55
2-December-2016,160.00,164.20,159.55,161.00,161.834811843079433542,1270987,8530,205689942.00,188503,14.83,4.65,1.00
1-December-2016,165.00,165.80,161.00,161.60,162.822358623685621018,639941,4397,104196703.00,132901,20.77,4.80,-3.40
30-November-2016,161.80,165.00,161.30,164.25,163.053120997580759925,899456,5684,146659108.00,91739,10.20,3.70,2.45
29-November-2016,163.90,165.50,160.75,161.80,162.972229113527276940,673151,4556,109704919.00,123893,18.40,4.75,-2.10
28-November-2016,162.50,165.00,160.90,162.95,163.179785306923956154,1340332,8825,218715088.00,237174,17.70,4.10,0.45
25-November-2016,168.35,171.30,165.90,167.85,168.531063395733118419,1148989,7556,193640338.00,175870,15.31,5.40,-0.50
24-November-2016,160.70,167.95,158.75,167.25,164.994095235601408764,1374822,10098,226837512.00,211816,15.41,9.20,6.55
23-November-2016,164.60,165.00,160.70,162.40,163.211692428730099962,691456,4550,112853704.00,133050,19.24,4.30,-2.20
22-November-2016,163.50,165.35,159.25,163.20,162.494367244515602405,1238559,9093,201258861.00,147238,11.89,6.10,-0.30
21-November-2016,179.05,179.25,160.00,161.45,166.043068779776931746,2089495,16889,346946162.00,354529,16.97,19.25,-17.60
18-November-2016,176.40,177.90,172.55,176.70,175.822925493927782798,1065591,7489,187355327.00,164470,15.43,5.35,0.30
17-November-2016,174.00,179.30,172.90,174.70,176.379711435792311639,4088934,16917,721204999.00,2346740,57.39,6.40,0.70
16-November-2016,176.95,178.00,168.50,173.25,173.204875377552461280,1742142,13857,301747488.00,297475,17.08,9.50,-3.70
15-November-2016,166.40,177.05,165.60,174.35,172.061250404081208336,4213262,29992,724939128.00,965226,22.91,11.45,7.95
11-November-2016,165.00,170.00,158.80,160.70,164.736698400035425849,2913127,18673,479898924.00,538174,18.47,11.20,-4.30
10-November-2016,155.00,166.15,155.00,164.80,162.777477745838752344,2531212,18612,412024305.00,538769,21.29,11.15,9.80
9-November-2016,136.00,152.80,136.00,151.15,145.108600104108753800,1581039,15116,229422356.00,262596,16.61,16.80,15.15
8-November-2016,148.60,149.70,146.10,149.00,147.734260833329387196,422354,2876,62396156.00,100090,23.70,3.60,0.40
7-November-2016,147.50,149.10,144.60,148.05,147.364154959874399140,536939,4611,79125562.00,85354,15.90,4.50,0.55
4-November-2016,147.50,148.20,141.50,142.45,144.481417998992752942,1757265,8260,253892139.00,564319,32.11,6.70,-5.05
3-November-2016,149.00,150.95,146.25,146.65,148.134691980881571959,677880,5246,100417545.00,152201,22.45,4.70,-2.35
