Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,119.50,121.55,119.20,121.05,120.650789480207223062,403430,2971,48674148.00,91645,22.72,2.35,1.55
29-December-2016,119.30,120.35,118.60,119.00,119.403477323269762113,296780,2331,35436564.00,94503,31.84,1.75,-0.30
28-December-2016,120.00,121.05,119.00,119.30,120.070100639067448790,320154,2182,38440923.00,80797,25.24,2.05,-0.70
27-December-2016,117.50,119.60,116.15,119.30,118.110993461403443679,350381,2396,41383848.00,91094,26.00,3.45,1.80
26-December-2016,119.50,119.50,116.50,117.05,117.251162751508206666,356052,2633,41747511.00,118748,33.35,3.00,-2.45
23-December-2016,119.00,120.65,118.35,119.10,119.504170762533352057,284840,2272,34039568.00,88242,30.98,2.30,0.10
22-December-2016,120.50,120.95,118.30,119.05,119.190939964249022907,363067,2699,43274297.00,91622,25.24,2.65,-1.45
21-December-2016,121.50,122.10,120.75,120.95,121.359078868742363297,224246,2473,27214288.00,68169,30.40,1.35,-0.55
20-December-2016,121.60,122.50,120.35,120.65,121.239444696172622384,390633,2551,47360128.00,157502,40.32,2.15,-0.95
19-December-2016,123.05,123.40,121.40,121.55,122.078556183190525423,450722,3153,55023491.00,226606,50.28,2.00,-1.50
16-December-2016,125.45,126.05,122.50,122.80,123.198853171452908410,1519146,4290,187157045.00,1140073,75.05,3.55,-2.65
15-December-2016,123.85,126.70,123.85,125.40,125.554667680924888676,278693,2476,34991207.00,63966,22.95,2.85,1.55
14-December-2016,125.50,126.60,124.70,125.20,125.557726905195067717,395760,2728,49690726.00,103796,26.23,1.90,-0.30
13-December-2016,127.50,127.50,125.25,125.75,126.078158508562113975,404281,3019,50971004.00,132338,32.73,2.25,-1.75
12-December-2016,129.45,129.45,126.25,127.50,127.340566071990511001,330488,2868,42084529.00,102618,31.05,3.20,-1.95
9-December-2016,129.30,130.45,128.70,129.10,129.338657047027821745,461833,2961,59732860.00,82812,17.93,1.75,-0.20
8-December-2016,128.40,130.05,128.40,129.00,129.265980913709062561,466932,3429,60358423.00,114092,24.43,1.65,0.60
7-December-2016,128.35,129.20,126.55,127.60,128.004139822382132697,420791,3061,53862990.00,84474,20.08,2.65,-0.75
6-December-2016,129.70,129.70,127.65,128.10,128.536768138611478763,415550,3194,53413454.00,73428,17.67,2.05,-1.60
5-December-2016,127.65,129.30,125.65,128.60,127.456454698233467314,645615,3742,82287799.00,67771,10.50,3.65,0.95
2-December-2016,128.00,129.25,126.40,127.00,127.593215483787279887,555058,3125,70821635.00,72479,13.06,2.85,-1.00
1-December-2016,130.95,131.20,128.25,128.80,129.478612216935615253,478778,2746,61991511.00,81097,16.94,2.95,-2.15
30-November-2016,130.00,131.45,129.15,130.35,130.421204883869418481,537197,3313,70061880.00,93933,17.49,2.30,0.35
29-November-2016,128.00,130.40,127.90,129.45,129.416686865987842235,523945,3505,67807226.00,101524,19.38,2.50,1.45
28-November-2016,127.00,129.00,126.45,127.65,128.115055610814721041,497655,3120,63757098.00,82089,16.50,2.55,0.65
25-November-2016,125.50,127.50,124.80,126.85,126.604199801765668579,694128,3977,87879520.00,145546,20.97,2.70,1.35
24-November-2016,124.85,125.70,123.50,124.40,124.399149077246104541,452450,3049,56284395.00,100939,22.31,2.20,-0.45
23-November-2016,125.90,126.35,122.60,125.05,123.733213552178875297,2531283,6762,313203780.00,1549947,61.23,3.75,-0.85
22-November-2016,130.00,130.40,123.70,124.50,125.151057342212435099,811043,6229,101502889.00,197346,24.33,6.70,-5.50
21-November-2016,135.05,135.25,126.60,128.70,129.847199230028873917,883150,4922,114674554.00,350356,39.67,8.65,-6.35
18-November-2016,134.65,135.65,132.85,134.20,134.266079081426376647,432845,3404,58116401.00,103806,23.98,2.80,-0.45
17-November-2016,134.00,135.60,131.80,133.60,133.431273691979111921,715432,4992,95461003.00,138310,19.33,3.80,-0.40
16-November-2016,136.90,136.90,131.00,131.70,133.620663093807330379,581607,3910,77714713.00,148783,25.58,5.90,-5.20
15-November-2016,136.70,138.00,132.20,133.85,134.157176057548629385,604984,5186,81162945.00,146980,24.29,5.80,-2.85
11-November-2016,140.65,142.80,134.30,136.45,139.252521771776804928,745805,6152,103855227.00,210361,28.21,8.50,-4.20
10-November-2016,142.60,143.80,139.40,140.65,141.517729113407213526,656378,4700,92889124.00,153949,23.45,4.40,-1.95
9-November-2016,130.50,140.40,129.00,138.90,135.965866220446386840,1641043,11328,223125833.00,264712,16.13,11.40,8.40
8-November-2016,141.85,146.85,140.75,143.15,143.552764798598809019,2498446,17104,358658831.00,352236,14.10,6.10,1.30
7-November-2016,135.00,140.40,135.00,139.15,138.906728014723533648,624850,3690,86795869.00,116761,18.69,5.40,4.15
4-November-2016,138.00,139.00,134.00,134.90,135.944162000548072950,488986,3489,66474792.00,115434,23.61,5.00,-3.10
3-November-2016,137.50,140.05,137.20,137.75,138.497553666442419423,490530,3366,67937205.00,89654,18.28,2.85,0.25
2-November-2016,140.00,140.45,136.90,137.30,138.437463201799780605,484059,3320,67011900.00,165728,34.24,3.55,-2.70
1-November-2016,140.00,143.45,138.70,141.55,141.819890275879656572,611716,4095,86753496.00,148450,24.27,4.75,1.55
30-October-2016,140.00,140.25,137.85,138.80,139.168943880842080572,119371,1247,16612736.00,48604,40.72,2.40,-1.20
28-October-2016,138.00,139.90,138.00,138.85,139.003593280074031414,406314,2591,56479106.00,94882,23.35,1.90,0.85
27-October-2016,139.95,139.95,136.25,138.25,137.872308008896135246,505388,2866,69679010.00,138397,27.38,3.70,-1.70
26-October-2016,140.00,142.00,138.85,139.55,140.152979617550956122,400001,2960,56061332.00,85450,21.36,3.15,-0.45
